Mersana Therapeutics PE Ratio Historical Data,Mersana Therapeutics PE Ratio Historical Data,Mersana Therapeutics PE Ratio Historical Data,Mersana Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.44,,0.0
2024-12-31,1.43,$-0.56,0.0
2024-09-30,1.89,$-0.61,0.0
2024-06-30,2.01,$-0.87,0.0
2024-03-31,4.48,$-1.14,0.0
2023-12-31,2.32,$-1.50,0.0
2023-09-30,1.27,$-1.78,0.0
2023-06-30,3.29,$-2.04,0.0
2023-03-31,4.11,$-2.12,0.0
2022-12-31,5.86,$-2.19,0.0
2022-09-30,6.76,$-2.43,0.0
2022-06-30,4.62,$-2.45,0.0
2022-03-31,3.99,$-2.49,0.0
2021-12-31,6.22,$-2.40,0.0
2021-09-30,9.43,$-2.14,0.0
2021-06-30,13.58,$-1.84,0.0
2021-03-31,16.18,$-1.58,0.0
2020-12-31,26.61,$-1.43,0.0
2020-09-30,18.62,$-1.35,0.0
2020-06-30,23.4,$-1.37,0.0
2020-03-31,5.83,$-1.40,0.0
2019-12-31,5.73,$-0.35,0.0
2019-09-30,1.58,$-0.98,0.0
2019-06-30,4.05,$-1.38,0.0
2019-03-31,5.26,$-1.56,0.0
2018-12-31,4.08,$-2.80,0.0
2018-09-30,10.0,$-2.44,0.0
2018-06-30,17.86,$-2.04,0.0
2018-03-31,15.77,$-7.83,0.0
