Broadstone Net Lease PE Ratio Historical Data,Broadstone Net Lease PE Ratio Historical Data,Broadstone Net Lease PE Ratio Historical Data,Broadstone Net Lease PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.17,,19.74
2024-12-31,15.86,$0.87,18.23
2024-09-30,18.95,$0.76,24.93
2024-06-30,15.87,$0.83,19.12
2024-03-31,15.67,$0.96,16.32
2023-12-31,17.22,$0.82,21.0
2023-09-30,14.3,$0.99,14.44
2023-06-30,15.44,$0.89,17.35
2023-03-31,17.01,$0.77,22.09
2022-12-31,16.21,$0.72,22.51
2022-09-30,15.53,$0.71,21.87
2022-06-30,20.15,$0.73,27.61
2022-03-31,21.13,$0.67,31.53
2021-12-31,23.79,$0.66,36.04
2021-09-30,23.52,$0.57,41.27
2021-06-30,21.97,$0.47,46.75
