First National PE Ratio Historical Data,First National PE Ratio Historical Data,First National PE Ratio Historical Data,First National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.35,,19.96
2024-09-30,17.39,$1.12,15.53
2024-06-30,14.84,$1.26,11.77
2024-03-31,15.73,$1.43,11.0
2023-12-31,20.87,$1.53,13.64
2023-09-30,16.76,$2.43,6.9
2023-06-30,15.6,$2.64,5.91
2023-03-31,14.77,$2.69,5.49
2022-12-31,15.87,$2.68,5.92
2022-09-30,14.07,$2.27,6.2
2022-06-30,16.64,$1.94,8.58
2022-03-31,19.02,$2.02,9.42
2021-12-31,20.69,$1.92,10.78
2021-09-30,20.59,$2.22,9.27
2021-06-30,17.88,$2.20,8.13
2021-03-31,15.4,$1.97,7.82
2020-12-31,14.84,$1.81,8.2
2020-09-30,12.32,$1.71,7.2
2020-06-30,12.01,$1.85,6.49
2020-03-31,12.89,$1.81,7.12
