Reynolds Consumer Products PE Ratio Historical Data,Reynolds Consumer Products PE Ratio Historical Data,Reynolds Consumer Products PE Ratio Historical Data,Reynolds Consumer Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.64,,14.07
2024-12-31,26.99,$1.68,16.07
2024-09-30,30.84,$1.75,17.62
2024-06-30,27.54,$1.71,16.1
2024-03-31,27.89,$1.57,17.76
2023-12-31,25.99,$1.42,18.31
2023-09-30,24.61,$1.28,19.23
2023-06-30,26.91,$1.14,23.6
2023-03-31,25.98,$1.07,24.28
2022-12-31,28.09,$1.24,22.66
2022-09-30,24.19,$1.23,19.67
2022-06-30,25.17,$1.31,19.21
2022-03-31,26.86,$1.44,18.65
2021-12-31,28.52,$1.54,18.52
2021-09-30,24.64,$1.57,15.69
2021-06-30,27.14,$1.80,15.08
2021-03-31,26.43,$1.95,13.56
2020-12-31,26.46,$1.74,15.21
