Cocrystal Pharma PE Ratio Historical Data,Cocrystal Pharma PE Ratio Historical Data,Cocrystal Pharma PE Ratio Historical Data,Cocrystal Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.55,,0.0
2024-09-30,1.76,$-1.85,0.0
2024-06-30,2.33,$-1.77,0.0
2024-03-31,1.4,$-1.74,0.0
2023-12-31,1.72,$-1.99,0.0
2023-09-30,1.87,$-2.10,0.0
2023-06-30,2.39,$-2.39,0.0
2023-03-31,1.99,$-4.89,0.0
2022-12-31,1.95,$-4.73,0.0
2022-09-30,3.49,$-4.66,0.0
2022-06-30,4.92,$-4.44,0.0
2022-03-31,6.6,$-1.92,0.0
2021-12-31,7.8,$-1.92,0.0
2021-09-30,12.6,$-1.56,0.0
2021-06-30,15.0,$-1.68,0.0
2021-03-31,16.68,$-2.04,0.0
2020-12-31,16.32,$-2.16,0.0
2020-09-30,11.16,$-20.05,0.0
2020-06-30,18.24,$-20.17,0.0
2020-03-31,8.52,$-19.93,0.0
2019-12-31,5.95,$-18.13,0.0
2019-09-30,24.6,$-0.12,0.0
2019-06-30,28.2,$-0.12,0.0
2019-03-31,32.76,$-0.12,0.0
2018-12-31,43.2,$-2.04,0.0
