Great Southern Bancorp PE Ratio Historical Data,Great Southern Bancorp PE Ratio Historical Data,Great Southern Bancorp PE Ratio Historical Data,Great Southern Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,57.14,,10.86
2024-12-31,59.7,$5.26,11.35
2024-09-30,57.31,$5.10,11.24
2024-06-30,54.82,$5.02,10.92
2024-03-31,53.64,$5.09,10.54
2023-12-31,58.07,$5.63,10.31
2023-09-30,46.57,$6.36,7.32
2023-06-30,48.89,$6.49,7.53
2023-03-31,48.46,$6.41,7.56
2022-12-31,56.46,$6.04,9.35
2022-09-30,53.8,$5.34,10.07
2022-06-30,54.82,$5.37,10.21
2022-03-31,54.86,$5.39,10.18
2021-12-31,54.77,$5.45,10.05
2021-09-30,50.35,$5.59,9.01
2021-06-30,49.19,$5.06,9.72
2021-03-31,51.39,$4.53,11.35
2020-12-31,44.09,$4.21,10.47
2020-09-30,32.44,$4.17,7.78
2020-06-30,35.8,$4.59,7.8
2020-03-31,35.51,$4.94,7.19
2019-12-31,54.23,$5.13,10.57
2019-09-30,48.51,$5.10,9.51
2019-06-30,50.68,$5.29,9.58
2019-03-31,43.72,$4.98,8.78
2018-12-31,38.0,$4.70,8.08
2018-09-30,45.38,$4.35,10.43
2018-06-30,46.62,$3.60,12.95
2018-03-31,40.51,$3.77,10.75
2017-12-31,41.66,$3.63,11.48
2017-09-30,44.68,$3.60,12.41
2017-06-30,42.77,$3.58,11.95
2017-03-31,40.19,$3.33,12.07
2016-12-31,43.3,$3.22,13.45
2016-09-30,32.12,$3.21,10.01
2016-06-30,29.02,$3.20,9.07
2016-03-31,28.96,$3.16,9.16
2015-12-31,35.09,$3.29,10.67
2015-09-30,33.41,$3.33,10.03
2015-06-30,32.35,$3.37,9.6
2015-03-31,30.08,$3.31,9.09
2014-12-31,30.13,$3.11,9.69
2014-09-30,22.93,$2.87,7.99
2014-06-30,24.07,$2.65,9.08
2014-03-31,22.41,$2.45,9.15
2013-12-31,22.54,$2.42,9.31
2013-09-30,20.8,$2.70,7.7
2013-06-30,19.74,$2.60,7.59
2013-03-31,17.74,$3.59,4.94
2012-12-31,18.37,$3.53,5.2
2012-09-30,22.15,$3.48,6.37
2012-06-30,19.66,$3.30,5.96
2012-03-31,16.99,$2.10,8.09
2011-12-31,16.58,$1.94,8.54
2011-09-30,11.7,$1.48,7.91
2011-06-30,13.07,$1.54,8.49
2011-03-31,14.66,$1.51,9.71
2010-12-31,15.98,$1.47,10.87
2010-09-30,14.64,$1.38,10.61
2010-06-30,13.55,$2.90,4.67
2010-03-31,14.84,$2.79,5.32
2009-12-31,14.02,$3.75,3.74
