Univest Of Pennsylvania PE Ratio Historical Data,Univest Of Pennsylvania PE Ratio Historical Data,Univest Of Pennsylvania PE Ratio Historical Data,Univest Of Pennsylvania PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.72,,11.09
2024-12-31,29.51,$2.59,11.39
2024-09-30,27.96,$2.49,11.23
2024-06-30,22.5,$2.44,9.22
2024-03-31,20.32,$2.39,8.5
2023-12-31,21.28,$2.41,8.83
2023-09-30,16.59,$2.67,6.21
2023-06-30,17.08,$2.80,6.1
2023-03-31,22.14,$2.68,8.26
2022-12-31,24.2,$2.65,9.13
2022-09-30,21.58,$2.43,8.88
2022-06-30,23.19,$2.43,9.54
2022-03-31,24.19,$2.69,8.99
2021-12-31,26.87,$3.12,8.61
2021-09-30,24.44,$3.41,7.17
2021-06-30,23.36,$3.32,7.04
2021-03-31,25.15,$2.68,9.38
2020-12-31,17.96,$1.60,11.23
2020-09-30,12.54,$1.25,10.03
2020-06-30,13.92,$1.23,11.32
2020-03-31,13.9,$1.72,8.08
2019-12-31,22.57,$2.24,10.08
2019-09-30,21.35,$2.34,9.12
2019-06-30,21.8,$2.25,9.69
2019-03-31,20.14,$1.84,10.95
2018-12-31,17.76,$1.73,10.27
2018-09-30,21.78,$1.47,14.82
2018-06-30,22.48,$1.38,16.29
2018-03-31,22.49,$1.67,13.47
2017-12-31,22.61,$1.64,13.79
2017-09-30,25.62,$1.53,16.74
2017-06-30,23.81,$1.11,21.45
2017-03-31,20.45,$0.94,21.75
2016-12-31,24.22,$0.90,26.91
2016-09-30,18.19,$1.01,18.01
2016-06-30,16.22,$1.40,11.59
2016-03-31,14.91,$1.46,10.21
2015-12-31,15.78,$1.40,11.27
2015-09-30,14.4,$1.35,10.67
2015-06-30,15.1,$1.34,11.27
2015-03-31,14.52,$1.32,11.0
2014-12-31,14.7,$1.36,10.81
2014-09-30,13.48,$1.34,10.06
2014-06-30,14.73,$1.32,11.16
2014-03-31,14.46,$1.30,11.12
2013-12-31,14.43,$1.27,11.36
2013-09-30,13.02,$1.27,10.25
2013-06-30,13.04,$1.25,10.43
2013-03-31,11.78,$1.24,9.5
2012-12-31,11.43,$1.23,9.3
2012-09-30,11.89,$1.25,9.51
2012-06-30,10.79,$1.22,8.84
2012-03-31,10.82,$1.21,8.94
2011-12-31,9.32,$1.13,8.24
2011-09-30,8.37,$1.11,7.54
2011-06-30,9.66,$1.05,9.2
2011-03-31,10.82,$1.01,10.71
2010-12-31,11.56,$0.96,12.05
2010-09-30,10.43,$0.75,13.9
2010-06-30,10.22,$0.69,14.81
2010-03-31,10.91,$0.67,16.28
2009-12-31,10.13,$0.78,12.98
