HSBC PE Ratio Historical Data,HSBC PE Ratio Historical Data,HSBC PE Ratio Historical Data,HSBC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,57.61,,9.85
2024-09-30,44.69,$5.85,7.64
2024-06-30,42.52,$6.75,6.3
2024-03-31,37.15,$7.23,5.14
2023-09-30,35.31,$5.23,6.75
2023-03-31,29.77,$4.63,6.43
2022-09-30,22.05,$2.98,7.4
2022-03-31,28.55,$2.85,10.02
2021-09-30,21.21,$2.60,8.16
2021-03-31,23.33,$2.50,9.33
2020-09-30,15.29,$2.60,5.88
2020-03-31,21.87,$3.20,6.83
2019-09-30,29.48,$3.50,8.42
2019-03-31,30.89,$3.50,8.83
2018-09-30,32.26,$3.25,9.93
2018-03-31,34.23,$1.20,28.53
2017-09-30,34.42,$0.30,114.72
2017-03-31,27.83,$0.15,185.54
2016-12-31,26.71,$0.35,76.32
2016-09-30,24.68,$1.05,23.5
2016-06-30,20.25,$2.45,8.27
2016-03-31,19.82,$2.95,6.72
2015-12-31,24.34,$3.25,7.49
2015-09-30,23.06,$3.75,6.15
2015-06-30,26.97,$3.65,7.39
2015-03-31,25.37,$3.70,6.86
2014-12-31,27.5,$3.75,7.33
2014-09-30,29.33,$4.35,6.74
2014-06-30,29.02,$4.00,7.25
2014-03-31,28.76,$3.85,7.47
2013-12-31,30.61,$4.15,7.38
2013-09-30,29.86,$4.25,7.03
2013-06-30,28.29,$4.10,6.9
2013-03-31,28.83,$4.70,6.13
2012-12-31,28.21,$3.70,7.62
2012-09-30,24.47,$2.90,8.44
2012-06-30,23.01,$4.10,5.61
2012-03-31,22.9,$2.50,9.16
2011-12-31,19.36,$2.95,6.56
2011-09-30,19.09,$2.95,6.47
2011-06-30,24.66,$1.10,22.41
2011-03-31,25.52,$1.10,23.2
2010-12-31,24.84,0,0.0
2010-09-30,24.44,0,0.0
