Odyssey Marine Exploration PE Ratio Historical Data,Odyssey Marine Exploration PE Ratio Historical Data,Odyssey Marine Exploration PE Ratio Historical Data,Odyssey Marine Exploration PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.43,,0.0
2024-09-30,0.83,$-0.12,0.0
2024-06-30,4.88,$-0.25,0.0
2024-03-31,3.81,$-0.18,0.0
2023-12-31,4.65,0,0.0
2023-09-30,3.74,0,0.0
2023-06-30,3.6,0,0.0
2023-03-31,3.25,$-0.30,0.0
2022-12-31,3.88,$-0.30,0.0
2022-09-30,3.1,$-0.28,0.0
2022-06-30,3.41,$-0.59,0.0
2022-03-31,6.66,$-0.46,0.0
2021-12-31,5.2,$-0.75,0.0
2021-09-30,7.0,$-0.94,0.0
2021-06-30,6.36,$-1.14,0.0
2021-03-31,6.68,$-1.40,0.0
2020-12-31,7.1,$-1.41,0.0
2020-09-30,6.8,$-1.48,0.0
2020-06-30,4.57,$-1.42,0.0
2020-03-31,3.35,$-1.29,0.0
2019-12-31,3.19,$-1.12,0.0
2019-09-30,3.83,$-1.04,0.0
2019-06-30,5.8,$-0.74,0.0
2019-03-31,7.16,$-0.52,0.0
2018-12-31,3.33,$-0.60,0.0
2018-09-30,8.1,$-0.61,0.0
2018-06-30,8.29,$-0.73,0.0
2018-03-31,8.27,$-0.88,0.0
2017-12-31,3.77,$-0.95,0.0
2017-09-30,4.36,$-1.10,0.0
2017-06-30,3.6,$-1.11,0.0
2017-03-31,3.94,$-1.13,0.0
2016-12-31,3.42,$-0.84,0.0
2016-09-30,3.59,$-0.19,0.0
2016-06-30,2.02,$-0.51,0.0
2016-03-31,6.79,$-1.10,0.0
2015-12-31,3.24,$-2.43,0.0
2015-09-30,4.32,$-3.48,0.0
2015-06-30,5.64,$-3.96,0.0
2015-03-31,8.4,$-3.72,0.0
2014-12-31,11.16,$-3.84,0.0
2014-09-30,10.92,$-1.56,0.0
2014-06-30,20.16,$-0.60,0.0
2014-03-31,27.48,$-1.68,0.0
2013-12-31,24.24,$-1.68,0.0
2013-09-30,36.0,$-3.36,0.0
2013-06-30,35.52,$-2.64,0.0
2013-03-31,39.12,$-3.48,0.0
2012-12-31,35.64,$-3.00,0.0
2012-09-30,37.8,$-3.48,0.0
2012-06-30,44.7,$-4.92,0.0
2012-03-31,37.32,$-3.24,0.0
2011-12-31,32.88,$-3.24,0.0
2011-09-30,29.52,$-5.52,0.0
2011-06-30,37.56,$-4.92,0.0
2011-03-31,36.96,$-4.68,0.0
2010-12-31,33.36,$-4.32,0.0
2010-09-30,21.96,$-2.28,0.0
2010-06-30,12.0,$-2.88,0.0
2010-03-31,15.72,$-3.36,0.0
2009-12-31,16.92,$-3.96,0.0
