Auburn National Bancorporation PE Ratio Historical Data,Auburn National Bancorporation PE Ratio Historical Data,Auburn National Bancorporation PE Ratio Historical Data,Auburn National Bancorporation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.7,,14.89
2024-12-31,23.49,$1.39,16.9
2024-09-30,22.64,$0.25,90.56
2024-06-30,17.84,$0.18,99.11
2024-03-31,18.53,$0.23,80.57
2023-12-31,20.19,$0.40,50.48
2023-09-30,20.14,$2.81,7.17
2023-06-30,19.67,$2.95,6.67
2023-03-31,20.7,$2.91,7.11
2022-12-31,20.78,$2.94,7.07
2022-09-30,20.56,$2.20,9.35
2022-06-30,23.9,$2.16,11.07
2022-03-31,29.1,$2.30,12.65
2021-12-31,28.07,$2.27,12.37
2021-09-30,29.15,$2.32,12.56
2021-06-30,30.36,$2.33,13.03
2021-03-31,32.62,$2.15,15.17
2020-12-31,35.25,$2.09,16.86
2020-09-30,30.47,$2.26,13.48
2020-06-30,47.68,$2.34,20.38
2020-03-31,34.9,$2.51,13.9
2019-12-31,43.84,$2.71,16.18
2019-09-30,38.97,$2.62,14.87
2019-06-30,27.37,$2.54,10.78
2019-03-31,31.98,$2.52,12.69
2018-12-31,25.49,$2.42,10.53
2018-09-30,30.64,$2.26,13.56
2018-06-30,39.47,$2.31,17.09
2018-03-31,30.92,$2.24,13.8
2017-12-31,30.59,$2.16,14.16
2017-09-30,27.35,$2.23,12.26
2017-06-30,28.68,$2.18,13.16
2017-03-31,25.45,$2.16,11.78
2016-12-31,23.98,$2.24,10.7
2016-09-30,20.86,$2.20,9.48
2016-06-30,21.48,$2.18,9.85
2016-03-31,21.14,$2.24,9.44
2015-12-31,21.98,$2.15,10.22
2015-09-30,19.49,$2.14,9.11
2015-06-30,18.79,$2.13,8.82
2015-03-31,17.99,$2.05,8.77
2014-12-31,16.96,$2.04,8.31
2014-09-30,17.52,$1.99,8.8
2014-06-30,16.93,$1.97,8.59
2014-03-31,16.21,$1.98,8.19
2013-12-31,17.32,$1.94,8.93
2013-09-30,16.76,$1.93,8.68
2013-06-30,14.98,$1.88,7.97
2013-03-31,14.83,$1.92,7.73
2012-12-31,13.93,$1.86,7.49
2012-09-30,14.73,$1.72,8.56
2012-06-30,14.09,$1.66,8.49
2012-03-31,14.3,$1.50,9.53
2011-12-31,11.93,$1.53,7.8
2011-09-30,12.53,$1.45,8.64
2011-06-30,12.47,$1.41,8.84
2011-03-31,12.22,$1.45,8.43
2010-12-31,12.41,$1.46,8.5
2010-09-30,12.47,$1.28,9.74
2010-06-30,11.41,$1.22,9.35
2010-03-31,12.39,$1.03,12.03
2009-12-31,11.7,$0.73,16.03
