Penske Automotive PE Ratio Historical Data,Penske Automotive PE Ratio Historical Data,Penske Automotive PE Ratio Historical Data,Penske Automotive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,149.97,,10.91
2024-12-31,152.44,$13.75,11.09
2024-09-30,161.22,$13.05,12.35
2024-06-30,146.97,$13.58,10.82
2024-03-31,158.79,$14.38,11.04
2023-12-31,156.43,$15.48,10.11
2023-09-30,161.95,$16.85,9.61
2023-06-30,160.84,$17.54,9.17
2023-03-31,136.24,$18.06,7.54
2022-12-31,109.93,$18.51,5.94
2022-09-30,93.68,$18.29,5.12
2022-06-30,99.18,$18.15,5.46
2022-03-31,88.38,$17.42,5.07
2021-12-31,100.65,$14.92,6.75
2021-09-30,94.05,$13.42,7.01
2021-06-30,70.21,$12.02,5.84
2021-03-31,74.24,$8.38,8.86
2020-12-31,54.59,$6.76,8.08
2020-09-30,43.5,$5.52,7.88
2020-06-30,35.33,$3.87,9.13
2020-03-31,25.55,$4.73,5.4
2019-12-31,45.47,$5.28,8.61
2019-09-30,42.47,$5.19,8.18
2019-06-30,42.11,$5.30,7.95
2019-03-31,39.4,$5.46,7.22
2018-12-31,35.26,$5.53,6.38
2018-09-30,41.11,$8.22,5.0
2018-06-30,40.35,$7.79,5.18
2018-03-31,37.91,$7.44,5.1
2017-12-31,40.63,$7.14,5.69
2017-09-30,40.11,$4.26,9.41
2017-06-30,36.73,$4.19,8.77
2017-03-31,38.88,$4.06,9.58
2016-12-31,42.82,$4.00,10.7
2016-09-30,39.53,$3.81,10.37
2016-06-30,25.63,$3.74,6.85
2016-03-31,30.64,$3.68,8.33
2015-12-31,33.94,$3.61,9.4
2015-09-30,38.63,$3.63,10.64
2015-06-30,41.37,$3.50,11.82
2015-03-31,40.7,$3.27,12.44
2014-12-31,38.62,$3.19,12.11
2014-09-30,31.8,$3.05,10.43
2014-06-30,38.62,$2.94,13.14
2014-03-31,33.22,$2.82,11.78
2013-12-31,36.48,$2.71,13.46
2013-09-30,32.92,$2.59,12.71
2013-06-30,23.43,$2.32,10.1
2013-03-31,25.47,$2.17,11.74
2012-12-31,22.87,$2.05,11.16
2012-09-30,22.77,$2.04,11.16
2012-06-30,15.99,$2.20,7.27
2012-03-31,18.47,$2.09,8.84
2011-12-31,14.37,$1.94,7.41
2011-09-30,11.89,$1.72,6.92
2011-06-30,16.83,$1.44,11.69
2011-03-31,14.77,$1.33,11.1
2010-12-31,12.85,$1.18,10.89
2010-09-30,9.74,$1.07,9.1
2010-06-30,8.38,$1.04,8.06
2010-03-31,10.64,$0.87,12.23
2009-12-31,11.2,$0.83,13.49
