Greene County Bancorp PE Ratio Historical Data,Greene County Bancorp PE Ratio Historical Data,Greene County Bancorp PE Ratio Historical Data,Greene County Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.64,,15.25
2024-12-31,27.72,$1.55,17.88
2024-09-30,30.82,$1.45,21.25
2024-06-30,33.52,$1.46,22.96
2024-03-31,28.56,$1.44,19.83
2023-12-31,27.9,$1.58,17.66
2023-09-30,23.72,$1.67,14.25
2023-06-30,29.32,$1.82,16.16
2023-03-31,22.23,$1.84,12.12
2022-12-31,28.07,$1.78,15.81
2022-09-30,27.94,$1.76,15.92
2022-06-30,22.03,$1.65,13.39
2022-03-31,21.69,$1.69,12.83
2021-12-31,17.77,$1.58,11.25
2021-09-30,17.44,$1.54,11.33
2021-06-30,13.49,$1.41,9.6
2021-03-31,11.94,$1.24,9.67
2020-12-31,12.11,$1.16,10.44
2020-09-30,10.26,$1.10,9.37
2020-06-30,10.49,$1.10,9.58
2020-03-31,10.93,$1.07,10.26
2019-12-31,13.42,$1.09,12.37
2019-09-30,12.72,$1.06,12.05
2019-06-30,13.66,$1.03,13.32
2019-03-31,14.05,$0.99,14.19
2018-12-31,14.35,$0.95,15.11
2018-09-30,14.76,$0.90,16.49
2018-06-30,15.54,$0.85,18.39
2018-03-31,16.77,$0.81,20.83
2017-12-31,14.86,$0.76,19.55
2017-09-30,13.65,$0.72,19.09
2017-06-30,12.31,$0.66,18.64
2017-03-31,10.52,$0.63,16.83
2016-12-31,10.27,$0.58,17.72
2016-09-30,7.44,$0.55,13.59
2016-06-30,7.22,$0.53,13.76
2016-03-31,7.76,$0.50,15.6
2015-12-31,7.02,$0.48,14.69
2015-09-30,6.0,$0.45,13.41
2015-06-30,6.17,$0.43,14.53
2015-03-31,6.14,$0.41,14.97
2014-12-31,6.44,$0.39,16.41
2014-09-30,5.73,$0.39,14.8
2014-06-30,5.6,$0.39,14.54
2014-03-31,5.39,$0.38,14.37
2013-12-31,5.32,$0.38,14.1
2013-09-30,5.85,$0.37,15.7
2013-06-30,4.42,$0.38,11.77
2013-03-31,4.09,$0.37,10.99
2012-12-31,4.24,$0.37,11.46
2012-09-30,4.4,$0.36,12.13
2012-06-30,3.71,$0.35,10.66
2012-03-31,3.53,$0.35,10.1
2011-12-31,3.31,$0.34,9.81
2011-09-30,3.61,$0.33,11.03
2011-06-30,3.38,$0.32,10.64
2011-03-31,3.4,$0.31,10.98
2010-12-31,3.65,$0.31,11.76
2010-09-30,3.08,$0.30,10.17
2010-06-30,2.91,$0.30,9.85
2010-03-31,2.61,$0.29,9.16
2009-12-31,2.74,$0.28,9.77
