NL Industries PE Ratio Historical Data,NL Industries PE Ratio Historical Data,NL Industries PE Ratio Historical Data,NL Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.92,,5.74
2024-12-31,7.77,$1.38,5.63
2024-09-30,7.36,$1.20,6.13
2024-06-30,5.53,$0.46,12.03
2024-03-31,6.65,$0.24,27.7
2023-12-31,5.02,$-0.04,0.0
2023-09-30,4.19,$-0.33,0.0
2023-06-30,4.81,$-0.51,0.0
2023-03-31,5.21,$0.17,30.66
2022-12-31,5.8,$0.69,8.41
2022-09-30,6.52,$1.13,5.77
2022-06-30,7.98,$1.52,5.25
2022-03-31,5.77,$1.16,4.97
2021-12-31,5.87,$1.05,5.59
2021-09-30,4.52,$0.83,5.45
2021-06-30,5.06,$0.70,7.23
2021-03-31,5.75,$0.53,10.85
2020-12-31,3.66,$0.30,12.2
2020-09-30,3.23,$0.34,9.49
2020-06-30,2.56,$0.23,11.13
2020-03-31,2.21,$0.26,8.51
2019-12-31,2.87,$0.53,5.42
2019-09-30,2.76,$0.46,6.0
2019-06-30,2.68,$0.17,15.76
2019-03-31,2.85,$-0.82,0.0
2018-12-31,2.58,$-0.84,0.0
2018-09-30,4.4,$0.10,44.05
2018-06-30,6.39,$0.78,8.19
2018-03-31,5.76,$2.50,2.31
2017-12-31,10.46,$2.38,4.4
2017-09-30,6.72,$1.58,4.25
2017-06-30,5.18,$1.37,3.78
2017-03-31,4.73,$0.54,8.77
2016-12-31,5.98,$0.32,18.7
2016-09-30,2.89,$0.01,0.0
2016-06-30,1.89,$-0.12,0.0
2016-03-31,1.66,$-0.74,0.0
2015-12-31,2.23,$-0.48,0.0
2015-09-30,2.19,$-0.26,0.0
2015-06-30,5.44,$0.01,543.96
2015-03-31,5.69,$0.72,7.9
2014-12-31,6.31,$0.59,10.7
2014-09-30,5.4,$-0.20,0.0
2014-06-30,6.82,$-0.61,0.0
2014-03-31,7.96,$-1.01,0.0
2013-12-31,8.21,$-1.13,0.0
2013-09-30,8.24,$-0.09,0.0
2013-06-30,8.11,$0.24,33.8
2013-03-31,8.83,$1.06,8.33
2012-12-31,8.05,$1.53,5.26
2012-09-30,7.99,$1.58,5.05
2012-06-30,8.58,$1.94,4.42
2012-03-31,10.15,$1.76,5.76
2011-12-31,8.75,$1.68,5.21
2011-09-30,8.38,$2.44,3.43
2011-06-30,12.16,$2.11,5.77
2011-03-31,9.77,$1.85,5.28
2010-12-31,7.28,$1.40,5.2
2010-09-30,5.86,$0.21,27.89
2010-06-30,3.87,$0.03,129.15
2010-03-31,5.35,$-0.10,0.0
2009-12-31,4.26,$-0.24,0.0
