Kezar Life Sciences PE Ratio Historical Data,Kezar Life Sciences PE Ratio Historical Data,Kezar Life Sciences PE Ratio Historical Data,Kezar Life Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.58,,0.0
2024-09-30,7.73,$-13.18,0.0
2024-06-30,6.0,$-13.60,0.0
2024-03-31,9.02,$-14.00,0.0
2023-12-31,9.47,$-14.10,0.0
2023-09-30,11.9,$-12.20,0.0
2023-06-30,24.5,$-11.50,0.0
2023-03-31,31.3,$-10.60,0.0
2022-12-31,70.4,$-10.10,0.0
2022-09-30,86.1,$-10.10,0.0
2022-06-30,82.7,$-10.40,0.0
2022-03-31,166.2,$-10.40,0.0
2021-12-31,167.2,$-10.30,0.0
2021-09-30,86.4,$-10.00,0.0
2021-06-30,54.3,$-9.50,0.0
2021-03-31,59.6,$-9.20,0.0
2020-12-31,52.2,$-9.70,0.0
2020-09-30,48.4,$-12.50,0.0
2020-06-30,51.8,$-15.00,0.0
2020-03-31,43.6,$-17.40,0.0
2019-12-31,40.1,$-18.40,0.0
2019-09-30,32.8,$-16.40,0.0
2019-06-30,77.1,$-14.60,0.0
2019-03-31,177.4,$-43.10,0.0
