51Talk Online Education Group PE Ratio Historical Data,51Talk Online Education Group PE Ratio Historical Data,51Talk Online Education Group PE Ratio Historical Data,51Talk Online Education Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.72,,0.0
2024-09-30,16.52,$-1.79,0.0
2024-06-30,13.07,$-2.36,0.0
2024-03-31,7.63,$-2.65,0.0
2023-12-31,8.03,$-2.43,0.0
2023-09-30,8.8,$-1.98,0.0
2023-06-30,8.9,$-1.80,0.0
2023-03-31,6.85,$-3.97,0.0
2022-12-31,6.3,$-7.34,0.0
2022-09-30,7.68,$-7.74,0.0
2022-06-30,5.52,$-7.04,0.0
2022-03-31,7.0,$-3.52,0.0
2021-06-30,31.32,$1.08,29.0
2021-03-31,81.4,$2.64,30.83
2020-12-31,108.44,$3.72,29.15
2020-09-30,76.28,$2.92,26.12
2020-06-30,102.72,$1.96,52.41
2020-03-31,116.0,$0.24,483.33
2019-12-31,39.28,$-2.84,0.0
2019-09-30,30.32,$-7.08,0.0
2019-06-30,30.16,$-9.32,0.0
2019-03-31,25.2,$-10.80,0.0
2018-12-31,28.88,$-12.60,0.0
2018-09-30,36.0,$-13.20,0.0
2018-06-30,43.2,$-15.00,0.0
2018-03-31,38.88,$-16.80,0.0
2017-12-31,50.0,$-17.40,0.0
2017-09-30,57.16,$-17.04,0.0
2017-06-30,64.08,$-16.52,0.0
2017-03-31,76.88,$-25.56,0.0
