Alcoa PE Ratio Historical Data,Alcoa PE Ratio Historical Data,Alcoa PE Ratio Historical Data,Alcoa PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.84,,0.0
2024-12-31,37.78,$-0.16,0.0
2024-09-30,38.49,$-1.76,0.0
2024-06-30,39.56,$-3.08,0.0
2024-03-31,33.52,$-3.76,0.0
2023-12-31,33.61,$-3.65,0.0
2023-09-30,28.61,$-4.93,0.0
2023-06-30,33.31,$-8.16,0.0
2023-03-31,41.67,$-4.64,0.0
2022-12-31,44.43,$-0.85,0.0
2022-09-30,32.81,$-0.84,0.0
2022-06-30,44.34,$5.09,8.71
2022-03-31,87.43,$3.77,23.19
2021-12-31,57.79,$2.21,26.15
2021-09-30,47.37,$4.30,11.02
2021-06-30,35.66,$2.28,15.64
2021-03-31,31.45,$-0.41,0.0
2020-12-31,22.31,$-0.91,0.0
2020-09-30,11.26,$-2.52,0.0
2020-06-30,10.88,$-3.45,0.0
2020-03-31,5.96,$-4.56,0.0
2019-12-31,20.82,$-6.06,0.0
2019-09-30,19.43,$-4.20,0.0
2019-06-30,22.66,$-3.23,0.0
2019-03-31,27.26,$-0.67,0.0
2018-12-31,25.73,$1.20,21.44
2018-09-30,39.1,$-0.09,0.0
2018-06-30,45.37,$0.73,62.16
2018-03-31,43.52,$0.74,58.81
2017-12-31,52.14,$1.15,45.34
2017-09-30,45.12,$1.53,29.49
