Columbia Banking System PE Ratio Historical Data,Columbia Banking System PE Ratio Historical Data,Columbia Banking System PE Ratio Historical Data,Columbia Banking System PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.62,,9.69
2024-12-31,27.01,$2.54,10.63
2024-09-30,25.81,$2.31,11.17
2024-06-30,19.38,$2.26,8.58
2024-03-31,18.5,$2.33,7.94
2023-12-31,25.01,$1.65,15.16
2023-09-30,18.72,$2.08,9.0
2023-06-30,18.37,$2.26,8.13
2023-03-31,19.07,$2.37,8.05
2022-12-31,26.58,$3.20,8.31
2022-09-30,25.23,$2.87,8.79
2022-06-30,24.77,$2.78,8.91
2022-03-31,27.62,$2.80,9.87
2021-12-31,27.77,$2.79,9.95
2021-09-30,31.96,$3.06,10.44
2021-06-30,32.19,$2.95,10.91
2021-03-31,35.74,$2.70,13.24
2020-12-31,29.58,$2.17,13.63
2020-09-30,19.49,$1.99,9.79
2020-06-30,22.94,$2.06,11.14
2020-03-31,21.39,$2.25,9.51
2019-12-31,32.07,$2.68,11.97
2019-09-30,28.89,$2.65,10.9
2019-06-30,28.1,$2.58,10.89
2019-03-31,25.1,$2.44,10.29
2018-12-31,27.55,$2.36,11.68
2018-09-30,29.12,$1.98,14.71
2018-06-30,30.53,$2.05,14.89
2018-03-31,31.12,$1.95,15.96
2017-12-31,32.06,$1.90,16.87
2017-09-30,30.92,$2.20,14.05
2017-06-30,29.1,$1.97,14.77
2017-03-31,28.31,$1.94,14.59
2016-12-31,32.27,$1.81,17.83
2016-09-30,23.35,$1.74,13.42
2016-06-30,19.78,$1.72,11.5
2016-03-31,20.82,$1.66,12.54
2015-12-31,22.32,$1.71,13.05
2015-09-30,21.21,$1.59,13.34
2015-06-30,21.88,$1.55,14.12
2015-03-31,19.26,$1.57,12.27
2014-12-31,18.16,$1.52,11.94
2014-09-30,16.14,$1.56,10.34
2014-06-30,16.92,$1.40,12.09
2014-03-31,18.17,$1.27,14.31
2013-12-31,17.43,$1.21,14.4
2013-09-30,15.59,$1.17,13.33
2013-06-30,14.97,$1.22,12.27
2013-03-31,13.76,$1.25,11.01
2012-12-31,11.17,$1.17,9.55
2012-09-30,11.49,$1.20,9.57
2012-06-30,11.45,$1.38,8.3
2012-03-31,13.73,$1.30,10.56
2011-12-31,11.42,$1.22,9.36
2011-09-30,8.42,$1.17,7.2
2011-06-30,10.09,$0.75,13.45
2011-03-31,11.2,$0.64,17.5
2010-12-31,12.29,$0.73,16.83
2010-09-30,11.46,$0.43,26.65
2010-06-30,10.64,$0.26,40.93
2010-03-31,11.83,$-0.22,0.0
2009-12-31,9.42,$-0.44,0.0
