CBL & Associates Properties PE Ratio Historical Data,CBL & Associates Properties PE Ratio Historical Data,CBL & Associates Properties PE Ratio Historical Data,CBL & Associates Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.02,,14.45
2024-12-31,29.41,$1.87,15.73
2024-09-30,25.2,$1.02,24.71
2024-06-30,23.38,$0.91,25.69
2024-03-31,22.91,$0.10,229.1
2023-12-31,24.42,$0.17,143.65
2023-09-30,20.98,$-0.17,0.0
2023-06-30,22.04,$-1.05,0.0
2023-03-31,25.64,$-1.72,0.0
2022-12-31,23.08,$-3.23,0.0
2022-09-30,25.61,$-3.26,0.0
2022-06-30,23.07,$-2.79,0.0
2022-03-31,32.3,$-1.45,0.0
2021-12-31,30.64,0,0.0
2020-09-30,0.16,0,0.0
2020-06-30,0.27,0,0.0
2020-03-31,0.2,0,0.0
2019-12-31,1.05,0,0.0
2019-09-30,1.29,0,0.0
2019-06-30,1.04,0,0.0
2019-03-31,1.55,0,0.0
2018-12-31,1.83,0,0.0
2018-09-30,3.67,0,0.0
2018-06-30,4.88,0,0.0
2018-03-31,3.53,0,0.0
2017-12-31,4.58,0,0.0
2017-09-30,6.56,0,0.0
