InfuSystems Holdings PE Ratio Historical Data,InfuSystems Holdings PE Ratio Historical Data,InfuSystems Holdings PE Ratio Historical Data,InfuSystems Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.65,,94.17
2024-12-31,8.45,$0.06,140.83
2024-09-30,6.7,$0.06,111.67
2024-06-30,6.83,$0.01,0.0
2024-03-31,8.57,0,0.0
2023-12-31,10.54,$0.03,351.33
2023-09-30,9.64,$0.04,241.0
2023-06-30,9.63,$0.03,321.0
2023-03-31,7.75,0,0.0
2022-12-31,8.68,$0.00,0.0
2022-09-30,6.99,$0.01,699.0
2022-06-30,9.63,$-0.03,0.0
2022-03-31,9.8,$0.02,490.0
2021-12-31,17.03,$0.07,243.29
2021-09-30,13.03,$0.54,24.13
2021-06-30,20.79,$0.70,29.7
2021-03-31,20.36,$0.85,23.95
2020-12-31,18.78,$0.80,23.48
2020-09-30,12.82,$0.35,36.63
2020-06-30,11.54,$0.26,44.38
2020-03-31,8.49,$0.09,94.33
2019-12-31,8.53,$0.06,142.17
2019-09-30,5.29,$0.01,0.0
2019-06-30,4.3,$-0.07,0.0
2019-03-31,5.01,$-0.11,0.0
2018-12-31,3.44,$-0.05,0.0
2018-09-30,3.25,$-0.83,0.0
2018-06-30,3.55,$-0.81,0.0
2018-03-31,2.9,$-0.84,0.0
2017-12-31,2.3,$-0.92,0.0
2017-09-30,2.05,$-0.15,0.0
2017-06-30,1.75,$-0.14,0.0
2017-03-31,2.3,$-0.06,0.0
2016-12-31,2.55,$0.03,85.0
2016-09-30,2.78,$0.14,19.86
2016-06-30,2.6,$0.20,13.0
2016-03-31,3.52,$0.20,17.6
2015-12-31,3.02,$0.16,18.88
2015-09-30,2.76,$0.12,23.0
2015-06-30,3.19,$0.10,31.9
2015-03-31,2.71,$0.11,24.64
2014-12-31,3.15,$0.16,19.69
2014-09-30,3.14,$0.15,20.93
2014-06-30,2.65,$0.14,18.93
2014-03-31,2.78,$0.10,27.76
2013-12-31,2.14,$0.07,30.57
2013-09-30,1.28,$0.04,32.0
2013-06-30,1.49,$0.01,149.0
2013-03-31,1.74,$-0.03,0.0
2012-12-31,1.5,$-0.07,0.0
2012-09-30,1.76,$-0.12,0.0
2012-06-30,1.89,$-0.91,0.0
2012-03-31,1.94,$-2.18,0.0
2011-12-31,1.61,$-2.15,0.0
2011-09-30,0.95,$-2.22,0.0
2011-06-30,2.16,$-1.42,0.0
2011-03-31,2.7,$-0.10,0.0
2010-12-31,2.33,$-0.09,0.0
2010-09-30,2.5,$0.07,35.71
2010-06-30,2.55,$0.04,63.75
2010-03-31,2.45,$0.18,13.61
2009-12-31,2.2,$0.04,55.0
