Assertio Holdings PE Ratio Historical Data,Assertio Holdings PE Ratio Historical Data,Assertio Holdings PE Ratio Historical Data,Assertio Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.71,,0.0
2024-12-31,0.87,$-0.12,0.0
2024-09-30,1.18,$-0.73,0.0
2024-06-30,1.24,$-4.12,0.0
2024-03-31,0.96,$-3.95,0.0
2023-12-31,1.07,$-3.97,0.0
2023-09-30,2.56,$-2.02,0.0
2023-06-30,5.42,$1.48,3.66
2023-03-31,6.37,$1.51,4.22
2022-12-31,4.3,$1.78,2.42
2022-09-30,2.27,$0.54,4.2
2022-06-30,2.95,$0.54,5.46
2022-03-31,2.87,$0.06,47.83
2021-12-31,2.18,$-0.02,0.0
2021-09-30,0.91,$-0.92,0.0
2021-06-30,1.56,$-1.36,0.0
2021-03-31,2.73,$-2.44,0.0
2020-12-31,1.43,$-0.24,0.0
2020-09-30,2.66,$-10.04,0.0
2020-06-30,3.43,$-9.48,0.0
2020-03-31,2.6,$-8.92,0.0
2019-12-31,5.0,$-12.12,0.0
2019-09-30,5.12,$-3.04,0.0
2019-06-30,13.8,$-0.64,0.0
2019-03-31,20.28,$-1.12,0.0
2018-12-31,14.44,$1.68,8.6
2018-09-30,23.52,$1.12,21.0
2018-06-30,26.68,$-2.48,0.0
2018-03-31,26.36,$-2.88,0.0
2017-12-31,32.2,$-6.52,0.0
2017-09-30,23.16,$-7.32,0.0
2017-06-30,42.96,$-7.16,0.0
2017-03-31,50.2,$-6.12,0.0
2016-12-31,72.08,$-5.76,0.0
2016-09-30,99.88,$-4.92,0.0
2016-06-30,78.48,$-4.88,0.0
2016-03-31,55.72,$-5.64,0.0
2015-12-31,72.52,$-5.08,0.0
2015-09-30,75.4,$1.88,40.11
2015-06-30,85.84,$3.12,27.51
2015-03-31,89.64,$5.40,16.6
2014-12-31,64.44,$7.40,8.71
2014-09-30,60.76,$5.36,11.34
2014-06-30,55.6,$5.36,10.37
2014-03-31,58.0,$4.56,12.72
2013-12-31,42.32,$2.96,14.3
2013-09-30,29.88,$-0.20,0.0
2013-06-30,22.48,$-0.76,0.0
2013-03-31,23.48,$-1.92,0.0
2012-12-31,24.76,$-2.16,0.0
2012-09-30,23.64,$-2.88,0.0
2012-06-30,22.76,$-3.36,0.0
2012-03-31,25.04,$-2.68,0.0
2011-12-31,20.72,$5.04,4.11
2011-09-30,21.6,$6.16,3.51
2011-06-30,32.72,$6.92,4.73
2011-03-31,40.16,$7.68,5.23
2010-12-31,25.44,$0.32,79.5
2010-09-30,17.92,$-0.08,0.0
2010-06-30,11.2,$-0.12,0.0
2010-03-31,14.2,$-1.20,0.0
2009-12-31,13.4,$-1.72,0.0
