Spero Therapeutics PE Ratio Historical Data,Spero Therapeutics PE Ratio Historical Data,Spero Therapeutics PE Ratio Historical Data,Spero Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.78,,11.11
2024-09-30,1.34,$0.07,19.14
2024-06-30,1.3,$0.33,3.94
2024-03-31,1.72,$0.43,4.0
2023-12-31,1.47,$0.42,3.5
2023-09-30,1.21,$0.01,121.0
2023-06-30,1.45,$-0.26,0.0
2023-03-31,1.45,$-0.90,0.0
2022-12-31,1.73,$-1.66,0.0
2022-09-30,2.0,$-3.11,0.0
2022-06-30,0.74,$-3.48,0.0
2022-03-31,8.7,$-3.24,0.0
2021-12-31,16.01,$-2.89,0.0
2021-09-30,18.41,$-2.67,0.0
2021-06-30,13.96,$-2.83,0.0
2021-03-31,14.72,$-3.05,0.0
2020-12-31,19.39,$-3.61,0.0
2020-09-30,11.16,$-4.25,0.0
2020-06-30,13.53,$-4.34,0.0
2020-03-31,8.08,$-4.23,0.0
2019-12-31,9.62,$-3.30,0.0
2019-09-30,10.6,$-2.58,0.0
2019-06-30,11.51,$-2.23,0.0
2019-03-31,12.81,$-2.18,0.0
2018-12-31,6.15,$-2.63,0.0
2018-09-30,10.51,$-3.62,0.0
