Spire Global PE Ratio Historical Data,Spire Global PE Ratio Historical Data,Spire Global PE Ratio Historical Data,Spire Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.88,,0.0
2024-09-30,9.99,$-2.24,0.0
2024-06-30,10.84,$-2.60,0.0
2024-03-31,12.0,$-3.48,0.0
2023-12-31,7.82,$-3.28,0.0
2023-09-30,4.89,$-3.66,0.0
2023-06-30,0.52,$-4.08,0.0
2023-03-31,0.67,$-5.52,0.0
2022-12-31,0.96,$-5.60,0.0
2022-09-30,1.08,$-1.60,0.0
2022-06-30,1.16,$-4.24,0.0
2022-03-31,2.1,$-1.92,0.0
2021-12-31,3.38,$-0.88,0.0
2021-09-30,12.53,$-3.92,0.0
