Brainstorm Cell Therapeutics PE Ratio Historical Data,Brainstorm Cell Therapeutics PE Ratio Historical Data,Brainstorm Cell Therapeutics PE Ratio Historical Data,Brainstorm Cell Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.54,,0.0
2024-09-30,3.45,$-4.80,0.0
2024-06-30,5.08,$-3.45,0.0
2024-03-31,8.47,$-4.80,0.0
2023-12-31,4.1,$-6.15,0.0
2023-09-30,3.0,$-6.60,0.0
2023-06-30,30.9,$-9.00,0.0
2023-03-31,49.5,$-9.90,0.0
2022-12-31,24.6,$-10.05,0.0
2022-09-30,66.3,$-10.49,0.0
2022-06-30,41.4,$-9.90,0.0
2022-03-31,50.4,$-9.60,0.0
2021-12-31,60.0,$-10.19,0.0
2021-09-30,49.5,$-13.19,0.0
2021-06-30,57.0,$-13.04,0.0
2021-03-31,57.45,$-14.24,0.0
2020-12-31,67.88,$-16.19,0.0
2020-09-30,253.8,$-15.74,0.0
2020-06-30,168.15,$-17.39,0.0
2020-03-31,69.6,$-17.09,0.0
2019-12-31,64.2,$-15.89,0.0
2019-09-30,58.5,$-14.69,0.0
2019-06-30,59.25,$-13.19,0.0
2019-03-31,65.1,$-12.14,0.0
2018-12-31,53.25,$-10.34,0.0
2018-09-30,57.3,$-6.15,0.0
2018-06-30,58.5,$-5.85,0.0
2018-03-31,47.25,$-4.35,0.0
2017-12-31,58.8,$-4.05,0.0
2017-09-30,61.8,$-4.80,0.0
2017-06-30,62.25,$-4.20,0.0
2017-03-31,63.75,$-4.05,0.0
2016-12-31,38.1,$-4.05,0.0
2016-09-30,36.15,$-4.65,0.0
2016-06-30,36.15,$-5.40,0.0
2016-03-31,40.05,$-6.45,0.0
2015-12-31,42.9,$-6.75,0.0
2015-09-30,34.35,$-8.40,0.0
2015-06-30,54.15,$-8.70,0.0
2015-03-31,66.75,$-9.30,0.0
2014-12-31,71.4,$-10.20,0.0
2014-09-30,61.65,$-9.00,0.0
2014-06-30,81.0,$-8.10,0.0
2014-03-31,63.0,$-5.70,0.0
2013-12-31,40.5,$-3.00,0.0
2013-09-30,42.75,$-1.50,0.0
2013-06-30,47.25,0,0.0
2013-03-31,56.25,0,0.0
2012-12-31,49.5,0,0.0
2012-09-30,51.75,0,0.0
2012-06-30,63.0,0,0.0
2012-03-31,49.5,0,0.0
2011-12-31,47.25,0,0.0
2011-09-30,72.0,0,0.0
2011-06-30,110.26,0,0.0
2011-03-31,67.5,0,0.0
2010-12-31,42.75,0,0.0
2010-09-30,49.5,0,0.0
2010-06-30,45.0,0,0.0
2010-03-31,76.5,0,0.0
2009-12-31,58.5,0,0.0
