InvenTrust Properties PE Ratio Historical Data,InvenTrust Properties PE Ratio Historical Data,InvenTrust Properties PE Ratio Historical Data,InvenTrust Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.97,,160.94
2024-12-31,30.13,$0.18,167.39
2024-09-30,28.37,$0.09,315.22
2024-06-30,24.76,$0.09,275.11
2024-03-31,25.71,$0.10,257.1
2023-12-31,25.34,$0.08,316.75
2023-09-30,23.81,$0.04,595.25
2023-06-30,23.14,$0.06,385.67
2023-03-31,23.4,$0.65,36.0
2022-12-31,23.67,$0.77,30.74
2022-09-30,21.33,$0.61,34.97
