Marten Transport PE Ratio Historical Data,Marten Transport PE Ratio Historical Data,Marten Transport PE Ratio Historical Data,Marten Transport PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.66,,40.18
2024-12-31,15.61,$0.34,45.91
2024-09-30,17.64,$0.42,42.0
2024-06-30,18.32,$0.54,33.93
2024-03-31,18.29,$0.71,25.76
2023-12-31,20.7,$0.87,23.79
2023-09-30,19.38,$1.03,18.82
2023-06-30,21.08,$1.18,17.87
2023-03-31,20.49,$1.30,15.76
2022-12-31,19.29,$1.35,14.29
2022-09-30,18.63,$1.34,13.9
2022-06-30,16.31,$1.28,12.74
2022-03-31,17.16,$1.15,14.92
2021-12-31,16.53,$1.04,15.89
2021-09-30,15.08,$0.98,15.38
2021-06-30,15.3,$0.94,16.28
2021-03-31,15.71,$0.90,17.45
2020-12-31,15.91,$0.85,18.79
2020-09-30,14.62,$0.80,18.28
2020-06-30,15.0,$0.78,19.22
2020-03-31,12.21,$0.75,16.35
2019-12-31,12.76,$0.75,17.08
2019-09-30,12.32,$0.75,16.5
2019-06-30,10.37,$0.73,14.14
2019-03-31,10.17,$0.71,14.26
2018-12-31,9.22,$0.67,13.69
2018-09-30,11.99,$1.27,9.47
2018-06-30,13.34,$1.17,11.37
2018-03-31,12.96,$1.12,11.57
2017-12-31,11.53,$1.09,10.54
2017-09-30,11.65,$0.41,28.66
2017-06-30,9.31,$0.42,22.31
2017-03-31,7.96,$0.41,19.51
2016-12-31,7.9,$0.41,19.37
2016-09-30,7.11,$0.41,17.27
2016-06-30,6.7,$0.41,16.42
2016-03-31,6.33,$0.40,15.66
2015-12-31,5.97,$0.42,14.09
2015-09-30,5.45,$0.43,12.73
2015-06-30,7.3,$0.42,17.39
2015-03-31,7.8,$0.42,18.75
2014-12-31,7.34,$0.36,20.39
2014-09-30,5.97,$0.34,17.57
2014-06-30,7.49,$0.34,21.76
2014-03-31,7.2,$0.34,21.18
2013-12-31,6.75,$0.36,18.67
2013-09-30,5.73,$0.37,15.63
2013-06-30,5.22,$0.35,15.01
2013-03-31,4.47,$0.35,12.89
2012-12-31,4.08,$0.33,12.43
2012-09-30,3.73,$0.33,11.38
2012-06-30,4.51,$0.33,13.76
2012-03-31,4.68,$0.31,14.99
2011-12-31,3.81,$0.30,12.87
2011-09-30,3.65,$0.27,13.67
2011-06-30,4.56,$0.26,17.82
2011-03-31,4.71,$0.24,19.4
2010-12-31,4.51,$0.24,18.79
2010-09-30,4.88,$0.23,21.55
2010-06-30,4.37,$0.20,21.58
2010-03-31,4.15,$0.19,21.31
2009-12-31,3.78,$0.19,19.41
