Dianthus Therapeutics PE Ratio Historical Data,Dianthus Therapeutics PE Ratio Historical Data,Dianthus Therapeutics PE Ratio Historical Data,Dianthus Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.44,,0.0
2024-12-31,21.8,$-1.79,0.0
2024-09-30,27.38,$-2.50,0.0
2024-06-30,25.88,$-5.54,0.0
2024-03-31,30.0,$-5.83,0.0
2023-12-31,10.4,$-5.29,0.0
2023-09-30,13.67,$-4.58,0.0
2023-06-30,12.13,$-5.12,0.0
2023-03-31,12.72,$-8.96,0.0
2022-12-31,6.32,$-15.20,0.0
2022-09-30,22.56,$-20.48,0.0
2022-06-30,19.2,$-20.96,0.0
2022-03-31,46.4,$-21.44,0.0
2021-12-31,70.88,$-20.96,0.0
2021-09-30,116.48,$-21.76,0.0
2021-06-30,156.48,$-22.88,0.0
2021-03-31,189.44,$-25.44,0.0
2020-12-31,125.44,$-27.84,0.0
2020-09-30,108.8,$-31.20,0.0
2020-06-30,120.16,$-33.92,0.0
2020-03-31,100.48,$-33.92,0.0
2019-12-31,242.56,$-32.80,0.0
2019-09-30,164.16,$-31.36,0.0
2019-06-30,236.0,$-30.56,0.0
2019-03-31,263.52,$-72.96,0.0
