Arthur J Gallagher PE Ratio Historical Data,Arthur J Gallagher PE Ratio Historical Data,Arthur J Gallagher PE Ratio Historical Data,Arthur J Gallagher PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,334.44,,51.29
2024-12-31,283.85,$6.52,43.54
2024-09-30,280.8,$5.25,53.49
2024-06-30,258.26,$5.14,50.25
2024-03-31,249.03,$4.94,50.41
2023-12-31,223.42,$4.44,50.32
2023-09-30,225.95,$5.22,43.29
2023-06-30,217.15,$5.13,42.33
2023-03-31,188.68,$5.39,35.01
2022-12-31,185.41,$5.20,35.66
2022-09-30,167.95,$5.08,33.06
2022-06-30,159.47,$4.95,32.22
2022-03-31,170.25,$4.54,37.5
2021-12-31,164.92,$4.41,37.4
2021-09-30,144.07,$4.62,31.18
2021-06-30,135.32,$4.46,30.34
2021-03-31,120.13,$4.33,27.74
2020-12-31,118.64,$4.20,28.25
2020-09-30,100.86,$3.99,25.28
2020-06-30,92.73,$3.75,24.73
2020-03-31,77.18,$3.54,21.8
2019-12-31,89.77,$3.52,25.5
2019-09-30,84.05,$3.64,23.09
2019-06-30,81.8,$3.66,22.35
2019-03-31,72.58,$3.70,19.62
2018-12-31,68.12,$3.41,19.98
2018-09-30,68.43,$3.35,20.43
2018-06-30,59.68,$3.38,17.66
2018-03-31,62.45,$3.71,16.83
2017-12-31,57.16,$2.54,22.5
2017-09-30,55.27,$2.50,22.11
2017-06-30,51.06,$2.48,20.59
2017-03-31,50.08,$2.37,21.13
2016-12-31,45.72,$2.32,19.71
2016-09-30,44.42,$2.14,20.76
2016-06-30,41.25,$2.20,18.75
2016-03-31,38.24,$2.17,17.62
2015-12-31,34.87,$2.04,17.09
2015-09-30,34.86,$2.00,17.43
2015-06-30,39.6,$1.83,21.64
2015-03-31,38.84,$1.72,22.58
2014-12-31,38.81,$1.95,19.9
2014-09-30,37.12,$2.09,17.76
2014-06-30,37.84,$2.08,18.19
2014-03-31,38.34,$2.11,18.17
2013-12-31,37.52,$2.07,18.13
2013-09-30,34.64,$1.89,18.33
2013-06-30,34.38,$1.82,18.89
2013-03-31,32.25,$1.68,19.19
2012-12-31,26.8,$1.60,16.75
2012-09-30,27.45,$1.68,16.34
2012-06-30,26.62,$1.59,16.74
2012-03-31,26.87,$1.37,19.61
2011-12-31,24.9,$1.27,19.61
2011-09-30,19.39,$1.43,13.56
2011-06-30,20.78,$1.46,14.23
2011-03-31,21.89,$1.51,14.49
2010-12-31,20.7,$1.65,12.55
2010-09-30,18.57,$1.30,14.29
2010-06-30,16.96,$1.27,13.36
2010-03-31,16.87,$1.29,13.08
2009-12-31,15.27,$1.28,11.93
