ArrowMark Financial PE Ratio Historical Data,ArrowMark Financial PE Ratio Historical Data,ArrowMark Financial PE Ratio Historical Data,ArrowMark Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.67,,39.0
2022-09-30,13.84,$0.53,26.12
2022-06-30,15.07,$0.78,19.33
2022-03-31,16.54,$1.45,11.4
2021-12-31,16.59,$1.88,8.82
2021-09-30,16.3,$2.54,6.42
2021-06-30,15.98,$2.68,5.96
2021-03-31,14.13,$3.77,3.75
2020-12-31,13.48,$0.76,17.74
2020-09-30,13.32,$0.31,42.96
2020-06-30,10.7,$0.06,178.26
2020-03-31,10.68,$-1.04,0.0
2019-12-31,14.26,$1.99,7.16
2019-09-30,13.93,$1.37,10.17
2019-06-30,13.48,$1.45,9.3
2019-03-31,13.02,$1.71,7.61
2018-12-31,11.52,$1.53,7.53
2018-09-30,12.99,$2.00,6.5
2018-06-30,13.05,$2.06,6.33
2018-03-31,12.19,$1.77,6.89
2017-12-31,11.1,$1.84,6.03
2017-09-30,11.17,$1.76,6.35
2017-06-30,10.84,$1.74,6.23
2017-03-31,10.51,$1.71,6.15
2016-12-31,9.57,$1.68,5.69
2016-09-30,9.37,$1.26,7.44
2016-06-30,9.02,$1.18,7.65
2016-03-31,8.34,$1.17,7.13
2015-12-31,7.7,$1.27,6.07
2015-09-30,7.78,$1.78,4.37
2015-06-30,7.85,$1.68,4.68
2015-03-31,8.01,$1.32,6.07
2014-12-31,8.44,$0.90,9.38
