Village Farms PE Ratio Historical Data,Village Farms PE Ratio Historical Data,Village Farms PE Ratio Historical Data,Village Farms PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.68,,0.0
2024-12-31,0.77,$-0.25,0.0
2024-09-30,0.93,$-0.45,0.0
2024-06-30,1.02,$-0.45,0.0
2024-03-31,1.24,$-0.25,0.0
2023-12-31,0.76,$-0.28,0.0
2023-09-30,0.8,$-0.62,0.0
2023-06-30,0.6,$-0.71,0.0
2023-03-31,0.83,$-1.11,0.0
2022-12-31,1.34,$-1.12,0.0
2022-09-30,1.91,$-0.55,0.0
2022-06-30,2.61,$-0.44,0.0
2022-03-31,5.28,$-0.09,0.0
2021-12-31,6.42,$-0.12,0.0
2021-09-30,8.34,$-0.04,0.0
2021-06-30,10.7,$-0.04,0.0
2021-03-31,13.23,$0.02,661.5
2020-12-31,10.14,$0.20,50.7
2020-09-30,4.58,$-0.05,0.0
2020-06-30,4.79,$-0.16,0.0
2020-03-31,2.86,$0.04,71.5
