NetApp PE Ratio Historical Data,NetApp PE Ratio Historical Data,NetApp PE Ratio Historical Data,NetApp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,92.1,,17.06
2025-01-31,122.1,$5.40,22.61
2024-10-31,115.31,$5.44,21.2
2024-07-31,126.45,$5.12,24.7
2024-04-30,101.37,$4.64,21.85
2024-01-31,86.08,$4.40,19.56
2023-10-31,71.43,$3.22,22.18
2023-07-31,76.06,$5.53,13.75
2023-04-30,60.91,$5.80,10.5
2023-01-31,63.64,$5.81,10.95
2022-10-31,66.02,$6.61,9.99
2022-07-31,67.48,$4.18,16.14
2022-04-30,68.77,$4.10,16.77
2022-01-31,80.71,$4.42,18.26
2021-10-31,82.86,$4.12,20.11
2021-07-31,73.45,$3.75,19.59
2021-04-30,68.51,$3.22,21.28
2021-01-31,60.55,$2.64,22.93
2020-10-31,39.71,$3.05,13.02
2020-07-31,39.66,$3.47,11.43
2020-04-30,38.75,$3.54,10.95
2020-01-31,46.71,$4.25,10.99
2019-10-31,48.51,$4.02,12.07
2019-07-31,50.3,$3.90,12.9
2019-04-30,62.18,$4.53,13.73
2019-01-31,54.12,$3.93,13.77
2018-10-31,66.16,$1.06,62.41
2018-07-31,65.03,$0.79,82.31
2018-04-30,55.57,$0.23,241.59
2018-01-31,51.16,$-0.08,0.0
2017-10-31,36.83,$2.33,15.81
2017-07-31,35.84,$2.07,17.31
2017-04-30,32.73,$1.81,18.08
2017-01-31,31.32,$1.10,28.48
2016-10-31,27.6,$1.10,25.09
2016-07-31,21.31,$1.11,19.2
2016-04-30,18.97,$0.78,24.33
2016-01-31,17.48,$1.24,14.1
2015-10-31,26.91,$1.28,21.02
2015-07-31,24.51,$1.38,17.76
2015-04-30,28.36,$1.75,16.21
2015-01-31,29.44,$1.91,15.41
2014-10-31,33.19,$1.90,17.47
2014-07-31,30.0,$1.89,15.87
2014-04-30,27.38,$1.85,14.8
2014-01-31,32.43,$1.73,18.74
2013-10-31,29.61,$1.61,18.39
2013-07-31,31.26,$1.43,21.86
2013-04-30,26.42,$1.37,19.29
2013-01-31,27.26,$1.37,19.9
2012-10-31,20.38,$1.26,16.17
2012-07-31,24.74,$1.40,17.67
2012-04-30,29.4,$1.57,18.73
2012-01-31,28.58,$1.50,19.05
2011-10-31,31.02,$1.60,19.39
2011-07-31,35.99,$1.58,22.78
2011-04-30,39.46,$1.62,24.36
2011-01-31,41.45,$1.62,25.58
2010-10-31,40.33,$1.50,26.88
2010-07-31,32.03,$1.35,23.73
2010-04-30,26.26,$1.12,23.44
2010-01-31,22.06,$0.95,23.22
2009-10-31,20.48,$0.42,48.77
