MoneyHero PE Ratio Historical Data,MoneyHero PE Ratio Historical Data,MoneyHero PE Ratio Historical Data,MoneyHero PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.8,,0.0
2024-09-30,1.09,$-3.30,0.0
2024-06-30,1.89,$-4.90,0.0
2024-03-31,1.83,$-4.72,0.0
2023-12-31,1.72,$-4.51,0.0
2023-09-30,10.36,$-1.67,0.0
2023-06-30,10.27,$-0.09,0.0
2023-03-31,10.08,$0.14,71.96
2022-12-31,9.91,$0.35,28.31
2022-09-30,10.04,$0.44,22.81
2022-06-30,9.92,$0.63,15.75
2022-03-31,9.86,$0.52,18.96
2021-12-31,9.82,$0.40,24.55
2021-09-30,9.81,$0.27,36.33
