Colony Bankcorp PE Ratio Historical Data,Colony Bankcorp PE Ratio Historical Data,Colony Bankcorp PE Ratio Historical Data,Colony Bankcorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.36,,17.59
2024-12-31,16.14,$0.93,17.35
2024-09-30,15.42,$1.25,12.34
2024-06-30,12.07,$1.26,9.58
2024-03-31,11.22,$1.25,8.97
2023-12-31,12.85,$1.24,10.36
2023-09-30,9.55,$1.23,7.77
2023-06-30,8.91,$1.20,7.43
2023-03-31,9.54,$1.09,8.75
2022-12-31,11.77,$1.14,10.32
2022-09-30,11.99,$1.13,10.61
2022-06-30,13.78,$1.28,10.76
2022-03-31,16.94,$1.51,11.22
2021-12-31,15.38,$1.69,9.1
2021-09-30,16.69,$1.91,8.74
2021-06-30,15.92,$1.79,8.89
2021-03-31,13.81,$1.60,8.63
2020-12-31,12.88,$1.25,10.3
2020-09-30,9.38,$1.02,9.19
2020-06-30,10.17,$0.96,10.6
2020-03-31,10.71,$0.96,11.15
2019-12-31,14.04,$1.13,12.43
2019-09-30,13.0,$1.19,10.93
2019-06-30,14.29,$1.24,11.53
2019-03-31,14.36,$1.37,10.48
2018-12-31,12.26,$1.40,8.75
2018-09-30,14.9,$1.12,13.3
2018-06-30,14.11,$1.10,12.82
2018-03-31,14.15,$1.02,13.87
2017-12-31,12.11,$0.87,13.92
2017-09-30,11.38,$1.02,11.16
2017-06-30,11.32,$0.94,12.04
2017-03-31,11.42,$0.87,13.13
2016-12-31,10.87,$0.85,12.78
2016-09-30,8.14,$0.82,9.93
2016-06-30,7.83,$0.79,9.91
2016-03-31,7.57,$0.76,9.95
2015-12-31,7.85,$0.71,11.05
2015-09-30,7.33,$0.68,10.77
2015-06-30,7.05,$0.65,10.84
2015-03-31,6.67,$0.63,10.58
2014-12-31,6.49,$0.58,11.18
2014-09-30,5.52,$0.57,9.68
2014-06-30,5.19,$0.49,10.6
2014-03-31,5.05,$0.40,12.62
2013-12-31,5.02,$0.37,13.57
2013-09-30,4.82,$0.24,20.07
2013-06-30,5.61,$0.21,26.7
2013-03-31,4.49,$0.19,23.61
2012-12-31,2.96,$0.14,21.17
2012-09-30,3.03,$0.12,25.25
2012-06-30,3.89,$0.09,43.26
2012-03-31,3.09,$0.06,51.45
2011-12-31,1.84,$0.12,15.37
2011-09-30,2.17,$0.11,19.68
2011-06-30,2.36,$-0.07,0.0
2011-03-31,3.42,$-0.07,0.0
2010-12-31,3.32,$-0.07,0.0
2010-09-30,3.7,$-2.08,0.0
2010-06-30,5.76,$-1.92,0.0
2010-03-31,4.81,$-2.88,0.0
2009-12-31,3.8,$-2.85,0.0
