Ameriprise Financial PE Ratio Historical Data,Ameriprise Financial PE Ratio Historical Data,Ameriprise Financial PE Ratio Historical Data,Ameriprise Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,493.08,,14.91
2024-12-31,532.43,$33.06,16.1
2024-09-30,468.44,$26.05,17.98
2024-06-30,424.34,$29.19,14.54
2024-03-31,433.98,$29.38,14.77
2023-12-31,374.69,$23.71,15.8
2023-09-30,323.91,$24.57,13.18
2023-06-30,325.08,$21.29,15.27
2023-03-31,298.58,$19.69,15.16
2022-12-31,302.24,$22.45,13.46
2022-09-30,243.59,$23.98,10.16
2022-06-30,228.73,$27.77,8.24
2022-03-31,287.71,$26.04,11.05
2021-12-31,287.92,$23.07,12.48
2021-09-30,251.16,$18.54,13.55
2021-06-30,235.67,$8.75,26.93
2021-03-31,219.18,$-0.44,0.0
2020-12-31,182.35,$11.86,15.38
2020-09-30,143.73,$13.96,10.3
2020-06-30,139.03,$19.14,7.26
2020-03-31,94.16,$27.02,3.48
2019-12-31,152.22,$13.96,10.9
2019-09-30,133.57,$14.19,9.41
2019-06-30,130.87,$13.58,9.64
2019-03-31,115.49,$13.11,8.81
2018-12-31,93.44,$14.20,6.58
2018-09-30,131.26,$11.62,11.3
2018-06-30,123.55,$11.43,10.81
2018-03-31,129.8,$10.83,11.99
2017-12-31,147.92,$9.44,15.67
2017-09-30,128.96,$10.72,12.03
2017-06-30,109.91,$8.78,12.52
2017-03-31,111.25,$8.25,13.48
2016-12-31,94.6,$7.82,12.1
2016-09-30,84.35,$7.36,11.46
2016-06-30,75.36,$8.23,9.16
2016-03-31,78.22,$8.49,9.21
2015-12-31,87.82,$8.48,10.36
2015-09-30,89.53,$8.70,10.29
2015-06-30,101.96,$8.70,11.72
2015-03-31,106.21,$8.38,12.67
2014-12-31,106.89,$8.31,12.86
2014-09-30,99.27,$7.55,13.15
2014-06-30,96.07,$7.24,13.27
2014-03-31,87.67,$6.87,12.76
2013-12-31,91.19,$6.44,14.16
2013-09-30,71.82,$6.79,10.58
2013-06-30,63.41,$5.72,11.09
2013-03-31,57.34,$5.17,11.09
2012-12-31,48.43,$4.64,10.44
2012-09-30,43.51,$3.91,11.13
2012-06-30,39.84,$4.25,9.37
2012-03-31,43.27,$4.49,9.64
2011-12-31,37.4,$4.38,8.54
2011-09-30,29.51,$4.48,6.59
2011-06-30,43.04,$4.67,9.22
2011-03-31,45.41,$4.42,10.27
2010-12-31,42.66,$4.29,9.94
2010-09-30,34.97,$4.01,8.72
2010-06-30,26.58,$3.69,7.2
2010-03-31,33.24,$3.12,10.65
2009-12-31,28.32,$2.89,9.8
