Otter Tail PE Ratio Historical Data,Otter Tail PE Ratio Historical Data,Otter Tail PE Ratio Historical Data,Otter Tail PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,82.35,,11.49
2024-12-31,73.84,$7.17,10.3
2024-09-30,77.71,$7.24,10.73
2024-06-30,86.63,$7.40,11.71
2024-03-31,85.02,$7.28,11.68
2023-12-31,83.17,$7.00,11.88
2023-09-30,73.9,$6.63,11.15
2023-06-30,76.49,$6.45,11.86
2023-03-31,69.62,$6.55,10.63
2022-12-31,56.17,$6.78,8.29
2022-09-30,58.42,$7.01,8.33
2022-06-30,63.43,$6.26,10.13
2022-03-31,58.66,$5.22,11.24
2021-12-31,66.58,$4.23,15.74
2021-09-30,51.87,$3.45,15.04
2021-06-30,44.91,$3.06,14.68
2021-03-31,42.14,$2.47,17.06
2020-12-31,38.53,$2.34,16.47
2020-09-30,32.41,$2.40,13.51
2020-06-30,34.44,$2.15,16.02
2020-03-31,39.1,$2.12,18.44
2019-12-31,44.81,$2.18,20.55
2019-09-30,46.62,$2.02,23.08
2019-06-30,45.49,$1.98,22.98
2019-03-31,42.62,$2.06,20.69
2018-12-31,42.17,$2.06,20.47
2018-09-30,40.4,$2.17,18.62
2018-06-30,39.87,$2.04,19.55
2018-03-31,36.04,$1.99,18.11
2017-12-31,36.65,$1.82,20.14
2017-09-30,35.5,$1.80,19.72
2017-06-30,32.18,$1.72,18.71
2017-03-31,30.53,$1.71,17.86
2016-12-31,32.6,$1.60,20.37
2016-09-30,27.39,$1.55,17.67
2016-06-30,26.28,$1.59,16.53
2016-03-31,23.01,$1.48,15.54
2015-12-31,20.44,$1.58,12.94
2015-09-30,19.78,$1.47,13.45
2015-06-30,19.97,$1.49,13.4
2015-03-31,23.87,$1.46,16.35
2014-12-31,22.75,$1.57,14.49
2014-09-30,19.4,$1.64,11.83
2014-06-30,21.81,$1.63,13.38
2014-03-31,21.93,$1.57,13.97
2013-12-31,20.64,$1.39,14.85
2013-09-30,19.27,$1.12,17.2
2013-06-30,19.62,$0.75,26.16
2013-03-31,21.3,$0.05,425.98
2012-12-31,16.92,$-0.16,0.0
2012-09-30,15.94,$-1.47,0.0
2012-06-30,15.05,$-1.35,0.0
2012-03-31,14.12,$-0.35,0.0
2011-12-31,14.14,$-0.40,0.0
2011-09-30,11.58,$0.88,13.16
2011-06-30,13.16,$0.87,15.12
2011-03-31,13.99,$-0.04,0.0
2010-12-31,13.69,$-0.06,0.0
2010-09-30,12.21,$0.12,101.77
2010-06-30,11.4,$0.25,45.6
2010-03-31,12.78,$0.72,17.74
2009-12-31,14.23,$0.71,20.04
