Adial Pharmaceuticals PE Ratio Historical Data,Adial Pharmaceuticals PE Ratio Historical Data,Adial Pharmaceuticals PE Ratio Historical Data,Adial Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.72,,0.0
2024-12-31,1.01,$-3.31,0.0
2024-09-30,1.0,$-3.16,0.0
2024-06-30,1.15,$-3.96,0.0
2024-03-31,1.33,$-2.41,0.0
2023-12-31,1.86,$-2.97,0.0
2023-09-30,2.78,$-5.72,0.0
2023-06-30,5.21,$-7.54,0.0
2023-03-31,8.75,$-12.50,0.0
2022-12-31,5.38,$-13.00,0.0
2022-09-30,8.75,$-17.25,0.0
2022-06-30,33.5,$-19.75,0.0
2022-03-31,50.25,$-22.00,0.0
2021-12-31,67.5,$-26.25,0.0
2021-09-30,107.25,$-25.25,0.0
2021-06-30,63.75,$-25.75,0.0
2021-03-31,60.5,$-23.50,0.0
2020-12-31,42.5,$-21.50,0.0
2020-09-30,55.75,$-20.25,0.0
2020-06-30,34.75,$-18.50,0.0
2020-03-31,32.5,$-19.75,0.0
2019-12-31,60.25,$-22.50,0.0
2019-09-30,37.75,$-17.75,0.0
2019-06-30,42.0,$-50.50,0.0
