Equity Residential PE Ratio Historical Data,Equity Residential PE Ratio Historical Data,Equity Residential PE Ratio Historical Data,Equity Residential PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,70.17,,25.8
2024-12-31,71.76,$2.72,26.38
2024-09-30,74.46,$2.44,30.52
2024-06-30,68.05,$2.51,27.11
2024-03-31,61.94,$2.41,25.7
2023-12-31,59.38,$2.20,26.99
2023-09-30,56.39,$1.80,31.33
2023-06-30,62.66,$2.21,28.35
2023-03-31,56.39,$2.43,23.21
2022-12-31,54.8,$2.06,26.6
2022-09-30,61.78,$3.04,20.32
2022-06-30,65.78,$3.33,19.75
2022-03-31,81.19,$3.58,22.68
2021-12-31,81.15,$3.54,22.92
2021-09-30,72.08,$2.82,25.56
2021-06-30,68.08,$1.91,35.65
2021-03-31,62.85,$1.77,35.51
2020-12-31,51.59,$2.45,21.06
2020-09-30,44.22,$2.54,17.41
2020-06-30,50.08,$3.01,16.64
2020-03-31,52.01,$3.14,16.56
2019-12-31,67.46,$2.59,26.05
2019-09-30,71.42,$2.13,33.53
2019-06-30,62.44,$2.00,31.22
2019-03-31,61.49,$1.48,41.55
2018-12-31,53.48,$1.77,30.22
2018-09-30,53.68,$1.80,29.82
2018-06-30,51.19,$1.59,32.2
2018-03-31,49.11,$1.81,27.13
2017-12-31,50.36,$1.63,30.89
2017-09-30,51.65,$2.04,25.32
2017-06-30,51.18,$2.23,22.95
2017-03-31,48.02,$2.29,20.97
2016-12-31,49.28,$11.66,4.23
2016-09-30,48.86,$11.46,4.26
2016-06-30,49.62,$11.43,4.34
2016-03-31,53.64,$11.62,4.62
2015-12-31,51.88,$2.35,22.08
2015-09-30,47.44,$2.39,19.85
2015-06-30,43.98,$2.47,17.81
2015-03-31,48.42,$2.00,24.21
2014-12-31,44.37,$1.73,25.65
2014-09-30,37.78,$1.44,26.24
2014-06-30,38.34,$1.88,20.39
2014-03-31,35.01,$2.47,14.17
2013-12-31,31.04,$5.26,5.9
2013-09-30,31.66,$6.13,5.16
2013-06-30,34.07,$5.80,5.87
2013-03-31,32.07,$5.23,6.13
2012-12-31,32.77,$2.69,12.18
2012-09-30,32.81,$1.85,17.73
2012-06-30,35.36,$1.48,23.89
2012-03-31,35.31,$3.00,11.77
2011-12-31,31.98,$2.95,10.84
2011-09-30,28.79,$3.27,8.81
2011-06-30,33.11,$3.01,11.0
2011-03-31,30.95,$1.18,26.23
2010-12-31,28.33,$0.95,29.82
2010-09-30,25.7,$0.45,57.12
2010-06-30,22.35,$0.84,26.6
2010-03-31,20.86,$1.17,17.83
2009-12-31,17.84,$1.25,14.27
