Easterly Government Properties PE Ratio Historical Data,Easterly Government Properties PE Ratio Historical Data,Easterly Government Properties PE Ratio Historical Data,Easterly Government Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.59,,55.74
2024-12-31,11.36,$0.19,59.79
2024-09-30,13.29,$0.18,73.82
2024-06-30,11.87,$0.19,62.48
2024-03-31,10.8,$0.20,54.01
2023-12-31,12.33,$0.19,64.9
2023-09-30,10.24,$0.33,31.04
2023-06-30,12.74,$0.28,45.52
2023-03-31,11.85,$0.31,38.23
2022-12-31,12.09,$0.35,34.55
2022-09-30,13.14,$0.25,52.55
2022-06-30,15.64,$0.33,47.39
2022-03-31,17.13,$0.35,48.93
2021-12-31,18.34,$0.35,52.4
2021-09-30,16.33,$0.30,54.43
2021-06-30,16.46,$0.26,63.32
2021-03-31,15.98,$0.21,76.12
2020-12-31,17.25,$0.15,115.02
2020-09-30,16.86,$0.14,120.44
2020-06-30,17.21,$0.10,172.11
2020-03-31,18.14,$0.13,139.55
2019-12-31,17.3,$0.10,172.97
2019-09-30,15.35,$0.09,170.55
2019-06-30,12.89,$0.11,117.2
2019-03-31,12.64,$0.05,252.88
2018-12-31,10.85,$0.09,120.55
2018-09-30,13.2,$0.11,120.04
2018-06-30,13.3,$0.10,132.97
2018-03-31,13.55,$0.10,135.5
2017-12-31,13.99,$0.10,139.91
2017-09-30,13.38,$0.10,133.84
2017-06-30,13.4,$0.10,133.98
2017-03-31,12.51,$0.10,125.07
2016-12-31,12.51,$0.10,125.06
2016-09-30,11.77,$0.07,168.19
2016-06-30,12.03,$0.07,171.86
2016-03-31,11.16,$0.07,159.41
2015-12-31,10.22,$-0.18,0.0
