Energy Vault Holdings PE Ratio Historical Data,Energy Vault Holdings PE Ratio Historical Data,Energy Vault Holdings PE Ratio Historical Data,Energy Vault Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.91,,0.0
2024-09-30,0.96,$-0.65,0.0
2024-06-30,0.95,$-0.60,0.0
2024-03-31,1.79,$-0.60,0.0
2023-12-31,2.33,$-0.68,0.0
2023-09-30,2.55,$-0.70,0.0
2023-06-30,2.73,$-0.78,0.0
2023-03-31,2.14,$-0.65,0.0
2022-12-31,3.12,$-0.68,0.0
2022-09-30,5.28,$-0.51,0.0
2022-06-30,10.02,$-0.30,0.0
2022-03-31,15.9,$-0.25,0.0
2021-12-31,9.9,0,0.0
