Organovo Holdings PE Ratio Historical Data,Organovo Holdings PE Ratio Historical Data,Organovo Holdings PE Ratio Historical Data,Organovo Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.31,,0.0
2024-12-31,0.46,$-0.85,0.0
2024-09-30,0.51,$-1.06,0.0
2024-06-30,0.76,$-1.38,0.0
2024-03-31,1.03,$-1.61,0.0
2023-12-31,1.11,$-2.17,0.0
2023-09-30,1.25,$-2.14,0.0
2023-06-30,1.69,$-2.06,0.0
2023-03-31,2.19,$-1.97,0.0
2022-12-31,1.41,$-1.34,0.0
2022-09-30,2.05,$-1.37,0.0
2022-06-30,1.77,$-1.39,0.0
2022-03-31,3.76,$-1.31,0.0
2021-12-31,3.63,$-1.39,0.0
2021-09-30,6.8,$-1.36,0.0
2021-06-30,9.4,$-28.16,0.0
2021-03-31,9.64,$-28.27,0.0
2020-12-31,12.3,$-27.97,0.0
2020-09-30,7.91,$-28.20,0.0
2020-06-30,11.0,$-2.00,0.0
2020-03-31,8.2,$-2.60,0.0
2019-12-31,7.11,$-3.80,0.0
2019-09-30,5.21,$-4.40,0.0
2019-06-30,10.46,$-4.40,0.0
2019-03-31,19.84,$-4.80,0.0
2018-12-31,19.14,$-5.00,0.0
2018-09-30,23.0,$-5.20,0.0
2018-06-30,28.0,$-6.00,0.0
2018-03-31,20.6,$-6.60,0.0
2017-12-31,26.8,$-7.20,0.0
2017-09-30,44.4,$-7.60,0.0
2017-06-30,52.6,$-7.80,0.0
2017-03-31,63.6,$-7.60,0.0
2016-12-31,67.8,$-7.40,0.0
2016-09-30,75.8,$-7.80,0.0
2016-06-30,74.4,$-8.20,0.0
2016-03-31,43.4,$-8.40,0.0
2015-12-31,49.8,$-8.60,0.0
2015-09-30,53.6,$-8.20,0.0
2015-06-30,75.4,$-8.00,0.0
2015-03-31,70.8,$-7.60,0.0
2014-12-31,145.0,$-7.80,0.0
2014-09-30,127.4,$-7.40,0.0
2014-06-30,167.0,$-8.00,0.0
2014-03-31,152.8,$-7.60,0.0
2013-12-31,221.4,$-5.40,0.0
2013-09-30,115.4,$-4.00,0.0
2013-06-30,75.6,$12.60,6.0
2013-03-31,73.6,$-2.60,0.0
2012-12-31,52.0,$-2.60,0.0
