Texas Instruments PE Ratio Historical Data,Texas Instruments PE Ratio Historical Data,Texas Instruments PE Ratio Historical Data,Texas Instruments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,180.68,,34.81
2024-12-31,187.51,$5.19,36.13
2024-09-30,205.2,$5.38,38.14
2024-06-30,192.01,$5.76,33.34
2024-03-31,170.74,$6.41,26.64
2023-12-31,165.73,$7.06,23.48
2023-09-30,153.18,$7.70,19.89
2023-06-30,172.23,$8.32,20.7
2023-03-31,176.64,$8.90,19.85
2022-12-31,155.78,$9.40,16.57
2022-09-30,144.82,$9.54,15.18
2022-06-30,142.85,$9.14,15.63
2022-03-31,169.42,$8.74,19.38
2021-12-31,172.9,$8.26,20.93
2021-09-30,175.26,$7.79,22.5
2021-06-30,174.39,$7.17,24.32
2021-03-31,170.42,$6.60,25.82
2020-12-31,147.1,$5.97,24.64
2020-09-30,127.09,$5.29,24.02
2020-06-30,112.22,$5.33,21.06
2020-03-31,87.61,$5.21,16.81
2019-12-31,111.66,$5.23,21.35
2019-09-30,111.63,$5.38,20.75
2019-06-30,98.54,$5.47,18.01
2019-03-31,91.08,$5.51,16.53
2018-12-31,80.53,$5.60,14.38
2018-09-30,90.68,$4.67,19.42
2018-06-30,92.67,$4.35,21.3
2018-03-31,86.81,$3.98,21.81
2017-12-31,86.78,$3.60,24.1
2017-09-30,74.0,$4.28,17.29
2017-06-30,63.12,$3.96,15.94
2017-03-31,65.69,$3.69,17.8
2016-12-31,59.12,$3.37,17.54
2016-09-30,56.45,$3.15,17.92
2016-06-30,50.12,$2.97,16.88
2016-03-31,45.64,$2.86,15.96
2015-12-31,43.24,$2.82,15.33
2015-09-30,38.82,$2.78,13.97
2015-06-30,40.11,$2.78,14.43
2015-03-31,44.25,$2.75,16.09
2014-12-31,41.11,$2.58,15.94
2014-09-30,36.42,$2.28,15.97
2014-06-30,36.26,$2.08,17.43
2014-03-31,35.55,$2.04,17.43
2013-12-31,32.87,$1.92,17.12
2013-09-30,29.94,$1.69,17.72
2013-06-30,25.71,$1.80,14.28
2013-03-31,25.97,$1.61,16.13
2012-12-31,22.47,$1.51,14.88
2012-09-30,19.89,$1.53,13.0
2012-06-30,20.59,$1.37,15.03
2012-03-31,23.99,$1.54,15.58
2011-12-31,20.67,$1.87,11.05
2011-09-30,18.82,$2.40,7.84
2011-06-30,23.09,$2.60,8.88
2011-03-31,24.21,$2.66,9.1
2010-12-31,22.69,$2.63,8.63
2010-09-30,18.86,$2.37,7.96
2010-06-30,16.1,$2.08,7.74
2010-03-31,16.85,$1.66,10.15
2009-12-31,17.85,$1.15,15.52
