Lifecore Biomedical PE Ratio Historical Data,Lifecore Biomedical PE Ratio Historical Data,Lifecore Biomedical PE Ratio Historical Data,Lifecore Biomedical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.58,,0.0
2024-11-30,7.41,$-0.56,0.0
2024-08-31,4.38,$0.08,54.75
2024-05-31,5.84,$0.26,22.46
2024-02-29,8.35,$-0.73,0.0
2023-11-30,7.17,$-2.48,0.0
2023-08-31,8.0,$-3.29,0.0
2023-05-31,8.19,$-3.35,0.0
2023-02-28,5.79,$-3.40,0.0
2022-11-30,8.51,$-2.50,0.0
2022-08-31,10.5,$-3.38,0.0
2022-05-31,9.5,$-3.29,0.0
2022-02-28,11.52,$-2.15,0.0
2021-11-30,7.95,$-1.91,0.0
2021-08-31,10.83,$-1.06,0.0
2021-05-31,11.97,$-1.12,0.0
2021-02-28,11.15,$-1.54,0.0
2020-11-30,10.35,$-1.74,0.0
2020-08-31,10.24,$-1.52,0.0
2020-05-31,10.67,$-1.30,0.0
2020-02-29,10.26,$-0.79,0.0
2019-11-30,11.46,$-0.36,0.0
2019-08-31,10.99,$-0.15,0.0
2019-05-31,9.92,$0.02,496.0
2019-02-28,12.84,$0.25,51.36
2018-11-30,15.41,$0.79,19.51
2018-08-31,13.45,$0.83,16.2
2018-05-31,14.1,$0.90,15.67
2018-02-28,13.0,$0.77,16.88
2017-11-30,12.5,$0.32,39.06
2017-08-31,13.0,$0.35,37.14
2017-05-31,14.0,$0.39,35.9
2017-02-28,12.6,$0.47,26.81
2016-11-30,14.3,$-0.44,0.0
2016-08-31,12.96,$-0.42,0.0
2016-05-31,11.58,$-0.43,0.0
2016-02-29,10.09,$-0.45,0.0
2015-11-30,12.81,$0.47,27.26
2015-08-31,13.3,$0.52,25.58
2015-05-31,14.29,$0.50,28.58
2015-02-28,13.96,$0.52,26.85
2014-11-30,13.14,$0.62,21.19
2014-08-31,13.13,$0.63,20.84
2014-05-31,12.01,$0.72,16.68
2014-02-28,10.19,$0.72,14.15
2013-11-30,11.74,$0.66,17.79
2013-08-31,13.2,$0.87,15.17
2013-05-31,14.04,$0.79,17.77
2013-02-28,11.01,$0.73,15.08
2012-11-30,10.06,$0.73,13.78
2012-08-31,9.8,$0.52,18.85
2012-05-31,7.31,$0.49,14.92
2012-02-29,6.3,$0.28,22.5
2011-11-30,5.95,$0.19,31.32
2011-08-31,5.95,$0.14,42.5
2011-05-31,5.74,$0.16,35.88
2011-02-28,6.15,$0.20,30.75
2010-11-30,6.26,$0.18,34.78
2010-08-31,5.5,$0.16,34.38
2010-05-31,6.19,$0.15,41.27
2010-02-28,6.06,$0.28,21.64
2009-11-30,6.28,$0.27,23.26
