Cintas PE Ratio Historical Data,Cintas PE Ratio Historical Data,Cintas PE Ratio Historical Data,Cintas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,194.46,,46.89
2024-11-30,225.79,$4.15,54.44
2024-08-31,200.92,$3.96,50.74
2024-05-31,168.84,$3.79,44.61
2024-02-29,156.24,$3.62,43.16
2023-11-30,137.21,$3.45,39.83
2023-08-31,124.73,$3.32,37.54
2023-05-31,116.49,$3.25,35.9
2023-02-28,107.92,$3.12,34.64
2022-11-30,113.36,$3.07,36.9
2022-08-31,99.62,$2.98,33.4
2022-05-31,97.27,$2.91,33.4
2022-02-28,91.42,$2.83,32.33
2021-11-30,102.58,$2.68,38.31
2021-08-31,95.95,$2.64,36.31
2021-05-31,85.5,$2.56,33.4
2021-02-28,78.28,$2.28,34.33
2020-11-30,85.56,$2.23,38.41
2020-08-31,79.43,$2.14,37.11
2020-05-31,59.1,$2.03,29.18
2020-02-29,63.58,$2.20,28.87
2019-11-30,61.27,$2.13,28.83
2019-08-31,62.27,$2.10,29.62
2019-05-31,52.36,$2.00,26.25
2019-02-28,48.77,$1.90,25.73
2018-11-30,44.23,$2.11,20.96
2018-08-31,49.8,$1.87,26.6
2018-05-31,42.54,$1.89,22.51
2018-02-28,39.83,$1.67,23.92
2017-11-30,36.75,$1.26,29.28
2017-08-31,31.16,$1.27,24.54
2017-05-31,29.06,$1.10,26.54
2017-02-28,27.24,$1.21,22.61
2016-11-30,26.45,$1.20,22.04
2016-08-31,26.78,$1.64,16.3
2016-05-31,21.6,$1.55,13.96
2016-02-29,19.14,$1.47,13.0
2015-11-30,20.87,$1.41,14.8
2015-08-31,19.15,$0.90,21.39
2015-05-31,19.4,$0.91,21.37
2015-02-28,18.81,$0.94,20.01
2014-11-30,16.48,$0.91,18.06
2014-08-31,14.55,$0.84,17.37
2014-05-31,13.67,$0.76,17.92
2014-02-28,13.34,$0.68,19.7
2013-11-30,12.21,$0.66,18.64
2013-08-31,10.36,$0.64,16.25
2013-05-31,9.9,$0.63,15.72
2013-02-28,9.52,$0.61,15.67
2012-11-30,8.99,$0.60,14.92
2012-08-31,8.63,$0.59,14.69
2012-05-31,7.88,$0.57,13.88
2012-02-29,8.23,$0.54,15.25
2011-11-30,6.49,$0.50,13.05
2011-08-31,6.71,$0.45,14.91
2011-05-31,6.89,$0.42,16.41
2011-02-28,5.9,$0.39,15.22
2010-11-30,5.61,$0.37,15.37
2010-08-31,5.25,$0.36,14.49
2010-05-31,5.36,$0.35,15.31
2010-02-28,5.11,$0.27,19.1
2009-11-30,5.68,$0.31,18.62
