Greenland Technologies Holding PE Ratio Historical Data,Greenland Technologies Holding PE Ratio Historical Data,Greenland Technologies Holding PE Ratio Historical Data,Greenland Technologies Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.26,,0.0
2024-09-30,2.47,$-0.95,0.0
2024-06-30,1.4,$-0.97,0.0
2024-03-31,2.21,$-1.13,0.0
2023-12-31,2.79,$-1.20,0.0
2023-09-30,3.12,$0.14,22.29
2023-06-30,1.63,$0.31,5.26
2023-03-31,1.63,$0.26,6.27
2022-12-31,2.18,$0.31,7.03
2022-09-30,2.66,$0.42,6.33
2022-06-30,3.99,$0.41,9.73
2022-03-31,4.89,$0.54,9.06
2021-12-31,6.43,$0.59,10.9
2021-09-30,6.28,$1.06,5.92
2021-06-30,7.84,$0.99,7.92
2021-03-31,12.37,$0.86,14.38
2020-12-31,7.24,$0.68,10.65
2020-09-30,2.4,$0.18,13.33
2020-06-30,2.31,$0.16,14.44
2020-03-31,3.3,$0.03,110.0
2019-12-31,5.0,$-0.05,0.0
2019-09-30,10.35,$-0.05,0.0
2019-08-31,10.3,$-0.16,0.0
2019-06-30,10.16,$-0.16,0.0
2019-05-31,10.15,$-0.28,0.0
2019-03-31,10.07,$-0.28,0.0
2019-02-28,10.05,$-0.17,0.0
