TFF Pharmaceuticals PE Ratio Historical Data,TFF Pharmaceuticals PE Ratio Historical Data,TFF Pharmaceuticals PE Ratio Historical Data,TFF Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-12,0.07,,0.0
2024-09-30,2.01,$-6.44,0.0
2024-06-30,1.66,$-7.88,0.0
2024-03-31,6.04,$-10.16,0.0
2023-12-31,7.02,$-12.51,0.0
2023-09-30,8.75,$-10.50,0.0
2023-06-30,11.75,$-15.50,0.0
2023-03-31,17.13,$-20.50,0.0
2022-12-31,26.25,$-24.00,0.0
2022-09-30,101.5,$-34.00,0.0
2022-06-30,141.25,$-35.25,0.0
2022-03-31,157.75,$-31.25,0.0
2021-12-31,221.75,$-31.25,0.0
2021-09-30,193.0,$-27.75,0.0
2021-06-30,240.25,$-25.25,0.0
2021-03-31,339.25,$-25.75,0.0
2020-12-31,358.0,$-22.50,0.0
2020-09-30,461.75,$-66.00,0.0
