Lake Shore Bancorp PE Ratio Historical Data,Lake Shore Bancorp PE Ratio Historical Data,Lake Shore Bancorp PE Ratio Historical Data,Lake Shore Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.8,,18.37
2024-12-31,13.74,$0.86,15.98
2024-09-30,13.31,$0.73,18.24
2024-06-30,12.17,$0.76,16.02
2024-03-31,11.11,$0.71,15.65
2023-12-31,11.22,$0.83,13.52
2023-09-30,9.73,$0.90,10.81
2023-06-30,10.32,$0.93,11.09
2023-03-31,9.67,$1.08,8.95
2022-12-31,11.56,$0.97,11.92
2022-09-30,12.45,$1.08,11.53
2022-06-30,13.06,$1.07,12.2
2022-03-31,13.81,$0.95,14.53
2021-12-31,13.61,$1.06,12.84
2021-09-30,13.5,$0.96,14.06
2021-06-30,13.36,$0.88,15.18
2021-03-31,13.32,$0.94,14.17
2020-12-31,11.46,$0.77,14.88
2020-09-30,11.69,$0.76,15.38
2020-06-30,10.57,$0.75,14.09
2020-03-31,8.98,$0.65,13.81
2019-12-31,12.98,$0.68,19.09
2019-09-30,12.25,$0.65,18.84
2019-06-30,12.48,$0.62,20.13
2019-03-31,13.19,$0.65,20.29
2018-12-31,12.48,$0.65,19.2
2018-09-30,13.58,$0.57,23.83
2018-06-30,14.04,$0.55,25.52
2018-03-31,13.65,$0.58,23.54
2017-12-31,13.87,$0.55,25.21
2017-09-30,12.87,$0.48,26.82
2017-06-30,12.61,$0.46,27.41
2017-03-31,12.4,$0.38,32.64
2016-12-31,12.89,$0.59,21.85
2016-09-30,10.67,$0.71,15.02
2016-06-30,10.22,$0.79,12.94
2016-03-31,10.37,$0.80,12.97
2015-12-31,10.4,$0.57,18.25
2015-09-30,10.43,$0.57,18.29
2015-06-30,10.32,$0.48,21.5
2015-03-31,10.51,$0.52,20.22
2014-12-31,10.31,$0.56,18.42
2014-09-30,9.53,$0.60,15.88
2014-06-30,9.36,$0.65,14.41
2014-03-31,9.27,$0.63,14.71
2013-12-31,9.07,$0.65,13.96
2013-09-30,8.44,$0.62,13.62
2013-06-30,8.6,$0.60,14.33
2013-03-31,8.1,$0.62,13.07
2012-12-31,7.47,$0.64,11.67
2012-09-30,7.52,$0.59,12.75
2012-06-30,7.37,$0.64,11.52
2012-03-31,7.13,$0.65,10.97
2011-12-31,6.76,$0.64,10.56
2011-09-30,6.68,$0.70,9.54
2011-06-30,7.16,$0.63,11.37
2011-03-31,7.08,$0.57,12.42
2010-12-31,6.36,$0.52,12.23
2010-09-30,5.49,$0.50,10.98
2010-06-30,5.36,$0.47,11.41
2010-03-31,5.52,$0.41,13.47
2009-12-31,5.25,$0.36,14.6
