PolyPid PE Ratio Historical Data,PolyPid PE Ratio Historical Data,PolyPid PE Ratio Historical Data,PolyPid PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.85,,0.0
2024-12-31,3.04,$-4.97,0.0
2024-09-30,3.44,$-7.81,0.0
2024-06-30,4.3,$-9.99,0.0
2024-03-31,4.6,$-12.64,0.0
2023-12-31,3.8,$-19.68,0.0
2023-09-30,4.51,$-25.32,0.0
2023-06-30,0.37,$-36.34,0.0
2023-03-31,0.46,$-50.75,0.0
2022-12-31,0.7,$-61.26,0.0
2022-09-30,1.17,$-72.97,0.0
2022-06-30,4.64,$-74.47,0.0
2022-03-31,5.46,$-72.97,0.0
2021-12-31,5.74,$-68.17,0.0
2021-09-30,7.78,$-59.16,0.0
2021-06-30,9.06,$-53.75,0.0
2021-03-31,9.16,$-796.70,0.0
