HIVE Digital Technologies PE Ratio Historical Data,HIVE Digital Technologies PE Ratio Historical Data,HIVE Digital Technologies PE Ratio Historical Data,HIVE Digital Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.67,,0.0
2024-12-31,2.85,$-0.05,0.0
2024-09-30,3.13,$-0.14,0.0
2024-06-30,3.08,$-0.37,0.0
2024-03-31,3.37,$-0.59,0.0
2023-12-31,4.53,$-0.64,0.0
2023-09-30,3.08,$-1.65,0.0
2023-06-30,4.63,$-1.81,0.0
2023-03-31,3.29,$-2.78,0.0
2022-12-31,1.44,$-3.04,0.0
2022-09-30,3.76,$-1.15,0.0
2022-06-30,2.99,$0.05,59.8
