ADC Therapeutics SA PE Ratio Historical Data,ADC Therapeutics SA PE Ratio Historical Data,ADC Therapeutics SA PE Ratio Historical Data,ADC Therapeutics SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.7,,0.0
2024-09-30,3.15,$-2.39,0.0
2024-06-30,3.16,$-2.55,0.0
2024-03-31,4.49,$-2.75,0.0
2023-12-31,1.66,$-2.93,0.0
2023-09-30,0.9,$-2.20,0.0
2023-06-30,2.15,$-2.27,0.0
2023-03-31,1.95,$-2.53,0.0
2022-12-31,3.84,$-2.01,0.0
2022-09-30,4.82,$-2.16,0.0
2022-06-30,7.95,$-2.44,0.0
2022-03-31,14.69,$-2.55,0.0
2021-12-31,20.2,$-3.00,0.0
2021-09-30,27.16,$-3.28,0.0
2021-06-30,24.35,$-2.64,0.0
2021-03-31,24.41,$-3.70,0.0
