Seritage Growth Properties PE Ratio Historical Data,Seritage Growth Properties PE Ratio Historical Data,Seritage Growth Properties PE Ratio Historical Data,Seritage Growth Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.37,,0.0
2024-09-30,4.65,$-2.55,0.0
2024-06-30,4.67,$-2.18,0.0
2024-03-31,9.65,$-2.09,0.0
2023-12-31,9.35,$-2.86,0.0
2023-09-30,7.74,$-1.28,0.0
2023-06-30,8.92,$-1.32,0.0
2023-03-31,7.87,$-2.15,0.0
2022-12-31,11.83,$-2.24,0.0
2022-09-30,9.02,$-2.22,0.0
2022-06-30,5.21,$-2.64,0.0
2022-03-31,12.66,$-1.81,0.0
2021-12-31,13.27,$-0.82,0.0
2021-09-30,14.83,$-3.38,0.0
2021-06-30,18.4,$-4.21,0.0
2021-03-31,18.35,$-2.51,0.0
2020-12-31,14.68,$-2.87,0.0
2020-09-30,13.45,$-2.65,0.0
2020-06-30,11.4,$-1.65,0.0
2020-03-31,9.11,$-2.12,0.0
2019-12-31,40.08,$-1.76,0.0
2019-09-30,42.49,$-2.63,0.0
2019-06-30,42.96,$-2.96,0.0
2019-03-31,44.44,$-2.69,0.0
2018-12-31,32.15,$-2.20,0.0
2018-09-30,46.86,$-1.90,0.0
2018-06-30,41.65,$-0.93,0.0
2018-03-31,34.69,$-1.33,0.0
2017-12-31,39.21,$-2.18,0.0
2017-09-30,44.38,$-1.39,0.0
2017-06-30,40.19,$-2.37,0.0
2017-03-31,41.1,$-1.97,0.0
2016-12-31,40.44,$-1.65,0.0
2016-09-30,47.71,$-1.17,0.0
2016-06-30,46.69,$-1.08,0.0
