First Western Financial PE Ratio Historical Data,First Western Financial PE Ratio Historical Data,First Western Financial PE Ratio Historical Data,First Western Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.38,,22.28
2024-12-31,19.55,$0.87,22.47
2024-09-30,20.0,$0.62,32.26
2024-06-30,17.0,$0.72,23.61
2024-03-31,14.58,$0.77,18.94
2023-12-31,19.83,$0.90,22.03
2023-09-30,18.15,$1.43,12.69
2023-06-30,18.6,$1.75,10.63
2023-03-31,19.8,$2.05,9.66
2022-12-31,28.15,$2.23,12.62
2022-09-30,24.65,$1.90,12.97
2022-06-30,27.19,$2.04,13.33
2022-03-31,31.26,$2.34,13.36
2021-12-31,30.36,$2.51,12.1
2021-09-30,28.85,$2.89,9.98
2021-06-30,25.89,$3.31,7.82
2021-03-31,25.01,$3.65,6.85
2020-12-31,19.57,$3.08,6.35
2020-09-30,12.95,$2.79,4.64
2020-06-30,14.25,$1.89,7.54
2020-03-31,14.14,$0.97,14.58
2019-12-31,16.47,$1.01,16.31
2019-09-30,17.09,$0.91,18.78
2019-06-30,13.26,$0.80,16.58
