Baijiayun Group PE Ratio Historical Data,Baijiayun Group PE Ratio Historical Data,Baijiayun Group PE Ratio Historical Data,Baijiayun Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.3,,0.02
2024-12-31,3.61,$12.00,0.3
2022-06-30,5.26,$19.35,0.27
2022-03-31,7.0,$19.25,0.36
2021-06-30,12.35,$18.15,0.68
2021-03-31,10.39,$16.25,0.64
2020-09-30,3.74,$9.65,0.39
2020-06-30,5.33,$6.80,0.78
2020-03-31,1.99,$3.00,0.66
2019-09-30,2.66,$-0.20,0.0
2019-06-30,1.91,$-2.95,0.0
2019-03-31,2.58,$-5.15,0.0
2018-09-30,1.84,$-7.20,0.0
2018-06-30,2.91,$-9.45,0.0
2018-03-31,2.91,$-10.15,0.0
2017-09-30,2.62,$-11.15,0.0
2017-06-30,2.99,$-10.75,0.0
2017-03-31,3.35,$-10.90,0.0
2016-09-30,2.03,$-8.20,0.0
2016-06-30,4.08,$-8.20,0.0
2016-03-31,2.08,$-9.40,0.0
2015-12-31,3.04,$-10.40,0.0
2015-09-30,3.68,$-10.40,0.0
2015-06-30,3.84,$-11.80,0.0
2015-03-31,2.36,$-13.80,0.0
2014-12-31,2.66,$-13.20,0.0
2014-09-30,4.12,$-13.20,0.0
2014-06-30,4.88,$-14.60,0.0
2014-03-31,7.04,$-13.60,0.0
2013-12-31,4.48,$-14.80,0.0
2013-09-30,5.04,$-14.80,0.0
2013-06-30,4.16,$-12.60,0.0
2013-03-31,5.68,$-10.80,0.0
2012-12-31,5.8,$-10.00,0.0
2012-09-30,5.52,$-10.00,0.0
2012-06-30,4.48,$-7.60,0.0
2012-03-31,6.8,$-3.40,0.0
2011-12-31,4.92,$5.80,0.85
2011-09-30,9.2,$11.60,0.79
2011-06-30,12.0,$16.20,0.74
2011-03-31,16.32,$14.20,1.15
2010-12-31,12.84,$8.60,1.49
2010-09-30,5.04,$3.00,1.68
2010-06-30,3.24,$0.00,0.0
2010-03-31,4.5,$-1.00,0.0
2009-12-31,4.88,$-4.20,0.0
