GRI Bio PE Ratio Historical Data,GRI Bio PE Ratio Historical Data,GRI Bio PE Ratio Historical Data,GRI Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.0,,0.0
2024-12-31,0.83,$-196.80,0.0
2024-09-30,0.36,$-196.80,0.0
2024-06-30,1.92,$-990.17,0.0
2024-03-31,0.76,"$-5,224.35",0.0
2023-12-31,0.39,"$-13,371.43",0.0
2023-09-30,1.55,"$-18,018.93",0.0
2023-06-30,4.25,"$-21,396.93",0.0
2023-03-31,0.36,"$-26,374.08",0.0
2022-12-31,0.29,"$-36,250.54",0.0
2022-09-30,0.29,"$-52,981.55",0.0
2022-06-30,0.64,"$-57,164.31",0.0
2022-03-31,1.88,"$-63,670.82",0.0
2021-12-31,5.98,"$-66,924.07",0.0
