Valley National Bancorp PE Ratio Historical Data,Valley National Bancorp PE Ratio Historical Data,Valley National Bancorp PE Ratio Historical Data,Valley National Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.81,,12.77
2024-12-31,9.06,$0.69,13.13
2024-09-30,8.96,$0.62,14.46
2024-06-30,6.82,$0.71,9.6
2024-03-31,7.65,$0.85,9.0
2023-12-31,10.29,$0.95,10.83
2023-09-30,8.03,$1.16,6.92
2023-06-30,7.18,$1.23,5.84
2023-03-31,8.44,$1.14,7.41
2022-12-31,10.22,$1.13,9.04
2022-09-30,9.66,$1.06,9.12
2022-06-30,9.23,$1.01,9.14
2022-03-31,11.43,$1.12,10.2
2021-12-31,11.97,$1.13,10.59
2021-09-30,11.49,$1.11,10.35
2021-06-30,11.49,$1.07,10.74
2021-03-31,11.66,$1.01,11.54
2020-12-31,8.21,$0.94,8.73
2020-09-30,5.7,$0.79,7.22
2020-06-30,6.41,$0.78,8.22
2020-03-31,5.92,$0.77,7.68
2019-12-31,9.13,$0.89,10.26
2019-09-30,8.58,$1.01,8.5
2019-06-30,8.43,$0.97,8.69
2019-03-31,7.41,$0.96,7.72
2018-12-31,6.8,$0.75,9.06
2018-09-30,8.51,$0.62,13.73
2018-06-30,9.12,$0.56,16.28
2018-03-31,9.26,$0.53,17.47
2017-12-31,8.27,$0.58,14.26
2017-09-30,8.8,$0.68,12.94
2017-06-30,8.54,$0.70,12.19
2017-03-31,8.45,$0.67,12.61
2016-12-31,8.26,$0.64,12.91
2016-09-30,6.84,$0.46,14.87
2016-06-30,6.34,$0.45,14.09
2016-03-31,6.55,$0.44,14.89
2015-12-31,6.69,$0.43,15.55
2015-09-30,6.61,$0.53,12.47
2015-06-30,6.84,$0.52,13.16
2015-03-31,6.2,$0.53,11.69
2014-12-31,6.3,$0.57,11.06
2014-09-30,6.22,$0.66,9.42
2014-06-30,6.29,$0.66,9.53
2014-03-31,6.53,$0.68,9.61
2013-12-31,6.28,$0.67,9.38
2013-09-30,6.11,$0.66,9.26
2013-06-30,5.72,$0.72,7.95
2013-03-31,6.08,$0.72,8.45
2012-12-31,5.44,$0.73,7.44
2012-09-30,5.76,$0.68,8.42
2012-06-30,6.0,$0.68,8.77
2012-03-31,6.65,$0.72,9.18
2011-12-31,6.27,$0.75,8.33
2011-09-30,5.3,$0.83,6.38
2011-06-30,6.71,$0.81,8.28
2011-03-31,6.33,$0.79,8.01
2010-12-31,6.41,$0.74,8.66
2010-09-30,5.71,$0.68,8.4
2010-06-30,5.96,$0.66,9.03
2010-03-31,6.25,$0.52,12.02
2009-12-31,5.68,$0.56,10.16
