Gilat Satellite Networks PE Ratio Historical Data,Gilat Satellite Networks PE Ratio Historical Data,Gilat Satellite Networks PE Ratio Historical Data,Gilat Satellite Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.7,,23.1
2024-09-30,5.27,$0.29,18.17
2024-06-30,4.47,$0.35,12.77
2024-03-31,5.43,$0.41,13.24
2023-12-31,6.11,$0.42,14.55
2023-09-30,6.43,$0.25,25.72
2023-06-30,6.23,$0.11,56.64
2023-03-31,5.12,$0.04,128.0
2022-12-31,5.8,$-0.10,0.0
2022-09-30,5.33,$0.05,106.6
2022-06-30,6.04,$0.01,604.0
2022-03-31,8.81,0,0.0
2021-12-31,7.07,$-0.05,0.0
2021-09-30,8.99,$1.03,8.73
2021-06-30,10.18,$0.82,12.41
2021-03-31,10.46,$0.74,14.14
2020-12-31,5.98,$0.62,9.65
2020-09-30,4.69,$-0.07,0.0
2020-06-30,5.48,$0.25,21.94
2020-03-31,6.1,$0.39,15.65
2019-12-31,6.78,$0.65,10.44
2019-09-30,7.21,$0.31,23.27
2019-06-30,7.28,$0.36,20.23
2019-03-31,7.23,$0.34,21.27
2018-12-31,7.48,$0.33,22.68
2018-09-30,6.99,$0.30,23.31
2018-06-30,7.51,$0.18,41.71
2018-03-31,7.21,$0.18,40.03
2017-12-31,6.32,$0.13,48.61
2017-09-30,4.91,$0.15,32.73
2017-06-30,4.22,$0.07,60.22
2017-03-31,4.13,$-0.04,0.0
2016-12-31,4.09,$-0.12,0.0
2016-09-30,3.98,$-0.32,0.0
2016-06-30,3.52,$-1.01,0.0
2016-03-31,3.82,$-1.15,0.0
2015-12-31,2.84,$-1.19,0.0
2015-09-30,2.88,$-1.01,0.0
2015-06-30,4.57,$-0.28,0.0
2015-03-31,4.94,$-0.10,0.0
2014-12-31,3.81,$-0.03,0.0
2014-09-30,4.0,$-0.27,0.0
2014-06-30,3.79,$-0.37,0.0
2014-03-31,4.04,$-0.43,0.0
2013-12-31,3.82,$-0.43,0.0
2013-09-30,4.01,$-0.83,0.0
2013-06-30,4.53,$-0.65,0.0
2013-03-31,4.66,$-0.54,0.0
2012-12-31,4.34,$-0.55,0.0
2012-09-30,3.25,$-0.25,0.0
2012-06-30,2.55,$-0.23,0.0
2012-03-31,3.3,$-0.23,0.0
2011-12-31,3.23,$-0.15,0.0
2011-09-30,2.62,$0.01,262.25
2011-06-30,3.7,$0.77,4.81
2011-03-31,4.33,$0.72,6.01
2010-12-31,4.09,$0.73,5.6
2010-09-30,4.7,$0.86,5.46
2010-06-30,3.76,$0.06,62.64
2010-03-31,4.64,$0.06,77.34
2009-12-31,3.77,$0.05,75.33
