Yunji PE Ratio Historical Data,Yunji PE Ratio Historical Data,Yunji PE Ratio Historical Data,Yunji PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.87,,0.0
2024-09-30,2.32,$-2.95,0.0
2024-06-30,2.77,$-3.20,0.0
2024-03-31,3.32,$-4.04,0.0
2023-12-31,2.84,$-4.96,0.0
2023-09-30,2.76,$-4.28,0.0
2023-06-30,6.32,$-4.36,0.0
2023-03-31,15.6,$-4.00,0.0
2022-12-31,32.66,$-4.40,0.0
2022-09-30,32.64,$-1.60,0.0
2022-06-30,41.6,$1.20,34.67
2022-03-31,40.8,$2.40,17.0
2021-12-31,25.0,$3.60,6.95
2021-09-30,28.6,$-0.40,0.0
2021-06-30,69.2,$-3.20,0.0
2021-03-31,86.0,$-4.00,0.0
2020-12-31,74.0,$-4.00,0.0
2020-09-30,73.6,$-1.60,0.0
2020-06-30,107.6,$-1.60,0.0
2020-03-31,146.4,$-17.20,0.0
