Raymond James Financial PE Ratio Historical Data,Raymond James Financial PE Ratio Historical Data,Raymond James Financial PE Ratio Historical Data,Raymond James Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,141.73,,13.83
2024-12-31,155.33,$10.25,15.15
2024-09-30,122.01,$9.71,12.57
2024-06-30,122.71,$8.87,13.83
2024-03-31,127.49,$8.27,15.42
2023-12-31,110.3,$7.98,13.82
2023-09-30,98.95,$7.96,12.43
2023-06-30,101.82,$7.92,12.86
2023-03-31,91.15,$7.59,12.01
2022-12-31,103.95,$7.18,14.48
2022-09-30,95.76,$6.98,13.72
2022-06-30,86.34,$7.02,12.3
2022-03-31,105.41,$7.09,14.86
2021-12-31,95.97,$7.25,13.24
2021-09-30,88.21,$6.63,13.3
2021-06-30,82.55,$5.61,14.71
2021-03-31,77.65,$4.98,15.59
2020-12-31,60.17,$4.11,14.65
2020-09-30,45.76,$3.88,11.79
2020-06-30,43.07,$4.12,10.45
2020-03-31,39.34,$4.50,8.74
2019-12-31,55.36,$4.91,11.28
2019-09-30,50.82,$4.77,10.65
2019-06-30,51.89,$4.71,11.02
2019-03-31,49.15,$4.54,10.83
2018-12-31,45.09,$4.42,10.2
2018-09-30,55.77,$3.83,14.58
2018-06-30,53.96,$3.53,15.3
2018-03-31,53.82,$3.32,16.21
2017-12-31,53.45,$2.75,19.46
2017-09-30,50.48,$2.89,17.49
2017-06-30,47.89,$2.81,17.06
2017-03-31,45.4,$2.56,17.74
2016-12-31,41.12,$2.63,15.66
2016-09-30,34.45,$2.44,14.12
2016-06-30,29.07,$2.23,13.02
2016-03-31,27.96,$2.26,12.37
2015-12-31,33.9,$2.19,15.46
2015-09-30,28.93,$2.29,12.65
2015-06-30,34.6,$2.33,14.87
2015-03-31,32.87,$2.29,14.38
2014-12-31,33.06,$2.25,14.67
2014-09-30,30.83,$2.21,13.93
2014-06-30,29.1,$2.13,13.64
2014-03-31,31.98,$1.96,16.32
2013-12-31,29.76,$1.85,16.06
2013-09-30,23.69,$1.72,13.77
2013-06-30,24.35,$1.57,15.48
2013-03-31,26.03,$1.55,16.83
2012-12-31,21.69,$1.52,14.27
2012-09-30,20.56,$1.47,14.02
2012-06-30,19.14,$1.44,13.29
2012-03-31,20.34,$1.33,15.33
2011-12-31,17.17,$1.42,12.1
2011-09-30,14.34,$1.51,9.48
2011-06-30,17.68,$1.52,11.63
2011-03-31,20.94,$1.61,13.03
2010-12-31,17.85,$1.48,12.06
2010-09-30,13.77,$1.27,10.81
2010-06-30,13.36,$1.13,11.79
2010-03-31,14.41,$1.03,13.95
2009-12-31,12.76,$0.75,16.94
