Avino Silver PE Ratio Historical Data,Avino Silver PE Ratio Historical Data,Avino Silver PE Ratio Historical Data,Avino Silver PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.9,,95.0
2024-12-31,0.88,$0.02,44.05
2024-09-30,1.1,$0.02,55.0
2024-06-30,0.9,0,0.0
2024-03-31,0.62,0,0.0
2023-12-31,0.52,0,0.0
2023-09-30,0.52,$0.01,51.65
2023-06-30,0.66,$0.01,65.98
2023-03-31,0.89,$0.02,44.25
2022-12-31,0.68,$0.03,22.67
2022-09-30,0.51,$0.05,10.2
2022-06-30,0.54,$0.06,9.02
2022-03-31,0.94,$0.01,94.0
2021-12-31,0.86,$-0.02,0.0
2021-09-30,0.83,$-0.07,0.0
2021-06-30,1.17,$-0.12,0.0
2021-03-31,1.24,$-0.11,0.0
2020-12-31,1.3,$-0.09,0.0
2020-09-30,0.99,$-0.49,0.0
2020-06-30,0.81,$-0.46,0.0
2020-03-31,0.34,$-0.44,0.0
2019-12-31,0.58,$-0.45,0.0
2019-09-30,0.59,$-0.01,0.0
2019-06-30,0.55,$-0.01,0.0
2019-03-31,0.6,$0.01,60.1
2018-12-31,0.61,$0.04,15.25
2018-09-30,0.62,$0.05,12.48
2018-06-30,1.24,$0.06,20.67
2018-03-31,1.39,$0.06,23.08
2017-12-31,1.34,$0.05,26.8
2017-09-30,1.55,$0.04,38.75
2017-06-30,1.6,$0.07,22.86
2017-03-31,1.74,$0.04,43.5
2016-12-31,1.37,$0.03,45.67
2016-09-30,2.06,$0.02,103.0
2016-06-30,2.43,$-0.01,0.0
2016-03-31,1.02,$0.01,102.0
2015-12-31,0.9,$0.02,45.01
2015-09-30,0.92,$0.02,46.0
2015-06-30,1.04,$0.05,20.86
2015-03-31,1.34,$0.04,33.5
2014-12-31,1.26,$0.07,18.0
2014-09-30,1.37,$0.01,0.0
2014-06-30,2.28,$0.02,114.0
2014-03-31,1.53,$0.07,21.86
2013-12-31,1.17,$0.03,39.0
2013-09-30,1.2,$0.09,13.33
2013-06-30,0.9,$0.03,30.0
2013-03-31,1.47,$-0.03,0.0
2012-12-31,1.83,$-0.04,0.0
2012-09-30,1.66,$-0.07,0.0
2012-06-30,1.25,$-0.09,0.0
2012-03-31,2.09,$-0.09,0.0
2011-12-31,1.42,$-0.15,0.0
2011-09-30,1.79,$-0.17,0.0
2011-06-30,2.17,$-0.14,0.0
2011-03-31,3.42,$-0.14,0.0
