TrueBlue PE Ratio Historical Data,TrueBlue PE Ratio Historical Data,TrueBlue PE Ratio Historical Data,TrueBlue PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.8,,0.0
2024-12-31,8.4,$-4.16,0.0
2024-09-30,7.89,$-3.84,0.0
2024-06-30,10.3,$-3.58,0.0
2024-03-31,12.52,$-0.37,0.0
2023-12-31,15.34,$-0.45,0.0
2023-09-30,14.67,$-0.16,0.0
2023-06-30,17.71,$0.47,37.68
2023-03-31,17.8,$1.43,12.45
2022-12-31,19.58,$1.86,10.53
2022-09-30,19.08,$2.22,8.59
2022-06-30,17.9,$2.12,8.44
2022-03-31,28.89,$1.85,15.62
2021-12-31,27.67,$1.75,15.81
2021-09-30,27.08,$1.41,19.21
2021-06-30,28.11,$1.13,24.88
2021-03-31,22.02,$0.45,48.93
2020-12-31,18.69,$-3.79,0.0
2020-09-30,15.49,$-3.79,0.0
2020-06-30,15.27,$-3.36,0.0
2020-03-31,12.76,$-2.64,0.0
2019-12-31,24.06,$1.61,14.94
2019-09-30,21.1,$1.75,12.06
2019-06-30,22.06,$1.68,13.13
2019-03-31,23.64,$1.63,14.5
2018-12-31,22.25,$1.64,13.57
2018-09-30,26.05,$1.67,15.6
2018-06-30,26.95,$1.57,17.17
2018-03-31,25.9,$1.44,17.99
2017-12-31,27.5,$1.33,20.68
2017-09-30,22.45,$1.36,16.51
2017-06-30,26.5,$1.41,18.79
2017-03-31,27.35,$-0.43,0.0
2016-12-31,24.65,$-0.37,0.0
2016-09-30,22.66,$-0.13,0.0
2016-06-30,18.92,$-0.21,0.0
2016-03-31,26.15,$1.74,15.03
2015-12-31,25.76,$1.71,15.06
2015-09-30,22.47,$1.69,13.3
2015-06-30,29.9,$1.72,17.38
2015-03-31,24.35,$1.69,14.41
2014-12-31,22.25,$1.59,13.99
2014-09-30,25.26,$1.30,19.43
2014-06-30,27.57,$1.26,21.88
2014-03-31,29.26,$1.18,24.8
2013-12-31,25.78,$1.11,23.23
2013-09-30,24.01,$0.94,25.54
2013-06-30,21.05,$0.83,25.36
2013-03-31,21.14,$0.78,27.1
2012-12-31,15.75,$0.85,18.53
2012-09-30,15.72,$0.85,18.49
2012-06-30,15.48,$0.82,18.88
2012-03-31,17.88,$0.76,23.53
2011-12-31,13.88,$0.74,18.76
2011-09-30,11.33,$0.64,17.7
2011-06-30,14.48,$0.54,26.81
2011-03-31,16.79,$0.52,32.29
2010-12-31,17.99,$0.45,39.98
2010-09-30,13.65,$0.41,33.29
2010-06-30,11.19,$0.37,30.24
2010-03-31,15.5,$0.28,55.36
2009-12-31,14.81,$0.21,70.52
