Ferroglobe PE Ratio Historical Data,Ferroglobe PE Ratio Historical Data,Ferroglobe PE Ratio Historical Data,Ferroglobe PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.07,,203.5
2024-12-31,3.8,$0.02,190.0
2024-09-30,4.64,$0.24,19.33
2024-06-30,5.34,$0.35,15.27
2024-03-31,4.95,$0.34,14.57
2023-12-31,6.46,$0.46,14.04
2023-09-30,5.16,$0.62,8.32
2023-06-30,4.73,$0.93,5.09
2023-03-31,4.9,$1.74,2.82
2022-12-31,3.82,$2.43,1.57
2022-09-30,5.24,$2.65,1.98
2022-06-30,5.89,$1.59,3.71
2022-03-31,7.64,$0.62,12.32
2021-12-31,6.16,$-0.58,0.0
2021-09-30,8.63,$-1.42,0.0
2021-06-30,6.07,$-1.16,0.0
2021-03-31,3.75,$-1.24,0.0
2020-12-31,1.63,$-1.12,0.0
2020-09-30,0.66,$-1.07,0.0
2020-06-30,0.49,$-1.62,0.0
2020-03-31,0.45,$-1.79,0.0
2019-12-31,0.93,$-1.67,0.0
2019-09-30,1.12,$-1.31,0.0
2019-06-30,1.69,$-0.49,0.0
2019-03-31,2.03,$0.14,14.52
2018-12-31,1.58,$0.51,3.09
2018-09-30,8.1,$0.78,10.39
2018-06-30,8.44,$0.77,10.96
2018-03-31,10.5,$0.40,26.25
2017-12-31,15.86,$0.15,105.7
2017-09-30,12.88,$-0.27,0.0
2017-06-30,11.7,$-0.42,0.0
2017-03-31,10.11,$-0.69,0.0
2016-12-31,10.6,$-0.80,0.0
2016-09-30,8.78,$-0.49,0.0
2016-06-30,8.21,$-0.32,0.0
2016-03-31,8.4,$0.03,280.13
2015-09-30,11.45,$0.31,36.93
2015-06-30,16.7,$0.39,42.83
2015-03-31,17.85,$0.39,45.78
2014-12-31,16.26,$0.31,52.45
2014-09-30,17.17,$0.36,47.68
2014-06-30,19.61,$0.11,178.27
2014-03-31,19.65,$0.11,178.61
2013-12-31,17.0,$-0.44,0.0
2013-09-30,14.49,$-0.42,0.0
2013-06-30,10.17,$-0.41,0.0
2013-03-31,12.95,$-0.41,0.0
2012-12-31,12.74,$0.27,47.17
2012-09-30,13.92,$0.25,55.67
2012-06-30,12.23,$0.60,20.38
2012-03-31,13.54,$0.60,22.57
2011-12-31,12.19,$0.75,16.26
2011-09-30,13.07,$0.72,18.15
2011-06-30,20.17,$0.48,42.03
2011-03-31,20.48,$0.48,42.67
2010-12-31,15.38,$0.19,80.93
2010-09-30,12.51,$0.29,43.15
2010-06-30,9.21,$0.38,24.23
