Unisys PE Ratio Historical Data,Unisys PE Ratio Historical Data,Unisys PE Ratio Historical Data,Unisys PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.19,,0.0
2024-12-31,6.33,$-2.83,0.0
2024-09-30,5.68,$-5.66,0.0
2024-06-30,4.13,$-5.50,0.0
2024-03-31,4.91,$-5.92,0.0
2023-12-31,5.62,$-6.32,0.0
2023-09-30,3.45,$-3.78,0.0
2023-06-30,3.98,$-3.64,0.0
2023-03-31,3.88,$-3.30,0.0
2022-12-31,5.11,$-1.57,0.0
2022-09-30,7.55,$-3.64,0.0
2022-06-30,12.03,$-3.33,0.0
2022-03-31,21.61,$-5.18,0.0
2021-12-31,20.57,$-6.78,0.0
2021-09-30,25.14,$-7.58,0.0
2021-06-30,25.31,$-7.50,0.0
2021-03-31,25.42,$-6.65,0.0
2020-12-31,19.68,$12.01,1.64
2020-09-30,10.67,$14.59,0.73
2020-06-30,10.91,$14.56,0.75
2020-03-31,12.35,$16.23,0.76
2019-12-31,11.86,$-0.36,0.0
2019-09-30,7.43,$0.22,33.77
2019-06-30,9.72,$0.57,17.05
2019-03-31,11.67,$0.22,53.05
2018-12-31,11.63,$1.22,9.53
2018-09-30,20.4,$1.58,12.91
2018-06-30,12.9,$0.65,19.85
2018-03-31,10.75,$-0.25,0.0
2017-12-31,8.15,$-1.52,0.0
2017-09-30,8.5,$-2.31,0.0
2017-06-30,12.8,$-2.06,0.0
2017-03-31,13.95,$-0.87,0.0
2016-12-31,14.95,$-1.02,0.0
2016-09-30,9.74,$-0.98,0.0
2016-06-30,7.28,$-0.61,0.0
2016-03-31,7.7,$-2.14,0.0
2015-12-31,11.05,$-2.21,0.0
2015-09-30,11.9,$-0.99,0.0
2015-06-30,19.99,$0.15,133.27
2015-03-31,23.21,$1.08,21.49
2014-12-31,29.48,$0.80,36.85
2014-09-30,23.41,$1.93,12.13
2014-06-30,24.74,$0.72,34.36
2014-03-31,30.46,$1.42,21.45
2013-12-31,33.57,$1.80,18.65
2013-09-30,25.19,$1.10,22.9
2013-06-30,22.07,$1.08,20.44
2013-03-31,22.75,$1.61,14.13
2012-12-31,17.3,$2.68,6.46
2012-09-30,20.82,$2.95,7.06
2012-06-30,19.55,$4.86,4.02
2012-03-31,19.72,$3.60,5.48
2011-12-31,19.71,$2.35,8.39
2011-09-30,15.69,$2.70,5.81
2011-06-30,25.7,$1.72,14.94
2011-03-31,31.22,$4.76,6.56
2010-12-31,25.89,$5.44,4.76
2010-09-30,27.9,$5.79,4.82
2010-06-30,18.49,$6.62,2.79
2010-03-31,34.89,$4.85,7.19
2009-12-31,38.56,$4.42,8.72
