Dover PE Ratio Historical Data,Dover PE Ratio Historical Data,Dover PE Ratio Historical Data,Dover PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,181.3,,9.32
2024-12-31,187.6,$19.45,9.65
2024-09-30,191.26,$11.18,17.11
2024-06-30,179.5,$10.73,16.73
2024-03-31,176.26,$10.41,16.93
2023-12-31,152.53,$7.52,20.28
2023-09-30,137.85,$7.28,18.94
2023-06-30,145.39,$7.22,20.14
2023-03-31,149.07,$7.50,19.88
2022-12-31,132.4,$7.43,17.82
2022-09-30,113.58,$8.05,14.11
2022-06-30,117.73,$7.86,14.98
2022-03-31,151.69,$7.68,19.75
2021-12-31,175.02,$7.73,22.64
2021-09-30,149.43,$6.49,23.02
2021-06-30,144.31,$6.06,23.81
2021-03-31,130.97,$5.10,25.68
2020-12-31,120.1,$4.70,25.55
2020-09-30,102.65,$4.60,22.32
2020-06-30,91.09,$4.62,19.72
2020-03-31,78.78,$5.11,15.42
2019-12-31,107.68,$4.62,23.31
2019-09-30,92.61,$4.43,20.9
2019-06-30,92.71,$4.08,22.72
2019-03-31,86.33,$3.64,23.72
2018-12-31,64.96,$3.76,17.28
2018-09-30,81.05,$4.68,17.32
2018-06-30,66.64,$4.77,13.97
2018-03-31,71.47,$4.90,14.58
2017-12-31,73.14,$5.15,14.2
2017-09-30,65.87,$4.30,15.32
2017-06-30,57.49,$3.99,14.41
2017-03-31,57.28,$3.71,15.44
2016-12-31,53.13,$3.26,16.3
2016-09-30,51.89,$3.14,16.53
2016-06-30,48.56,$3.50,13.87
2016-03-31,44.78,$4.81,9.31
2015-12-31,42.38,$5.45,7.78
2015-09-30,39.27,$5.56,7.06
2015-06-30,47.87,$5.75,8.32
2015-03-31,46.9,$4.95,9.47
2014-12-31,48.4,$4.60,10.52
2014-09-30,53.95,$4.71,11.45
2014-06-30,60.81,$4.89,12.44
2014-03-31,54.42,$5.53,9.84
2013-12-31,53.29,$5.80,9.19
2013-09-30,49.38,$5.56,8.88
2013-06-30,42.51,$5.31,8.0
2013-03-31,39.71,$4.55,8.73
2012-12-31,35.63,$4.40,8.1
2012-09-30,32.08,$5.00,6.42
2012-06-30,28.74,$4.60,6.25
2012-03-31,33.56,$4.77,7.03
2011-12-31,30.8,$4.75,6.48
2011-09-30,24.58,$4.30,5.72
2011-06-30,35.56,$4.58,7.76
2011-03-31,34.33,$4.16,8.25
2010-12-31,30.39,$3.71,8.19
2010-09-30,27.01,$3.20,8.44
2010-06-30,21.49,$2.59,8.3
2010-03-31,23.9,$2.21,10.81
2009-12-31,21.15,$1.92,11.02
