Standard Motor Products PE Ratio Historical Data,Standard Motor Products PE Ratio Historical Data,Standard Motor Products PE Ratio Historical Data,Standard Motor Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.5,,21.54
2024-12-31,30.98,$1.23,25.19
2024-09-30,32.91,$1.62,20.32
2024-06-30,27.23,$1.75,15.56
2024-03-31,32.65,$1.39,23.49
2023-12-31,38.46,$1.54,24.97
2023-09-30,32.22,$1.61,20.01
2023-06-30,35.67,$1.71,20.86
2023-03-31,34.81,$2.16,16.12
2022-12-31,32.58,$2.49,13.09
2022-09-30,30.23,$2.96,10.21
2022-06-30,41.56,$3.63,11.45
2022-03-31,39.58,$3.97,9.97
2021-12-31,47.79,$4.02,11.89
2021-09-30,39.68,$3.59,11.05
2021-06-30,39.13,$3.78,10.35
2021-03-31,37.33,$3.06,12.2
2020-12-31,36.11,$2.52,14.33
2020-09-30,39.64,$2.62,15.13
2020-06-30,36.58,$2.01,18.2
2020-03-31,36.91,$2.38,15.51
2019-12-31,47.02,$2.53,18.59
2019-09-30,42.71,$2.17,19.68
2019-06-30,39.68,$2.21,17.95
2019-03-31,42.76,$2.05,20.86
2018-12-31,41.98,$1.87,22.45
2018-09-30,42.5,$1.35,31.48
2018-06-30,41.56,$1.23,33.79
2018-03-31,40.7,$1.30,31.31
2017-12-31,38.26,$1.62,23.62
2017-09-30,40.91,$2.36,17.34
2017-06-30,44.1,$2.68,16.45
2017-03-31,41.34,$2.76,14.98
2016-12-31,44.6,$2.62,17.02
2016-09-30,39.89,$2.49,16.02
2016-06-30,33.09,$2.40,13.79
2016-03-31,28.7,$2.14,13.41
2015-12-31,31.36,$2.00,15.68
2015-09-30,28.64,$2.25,12.73
2015-06-30,28.71,$1.86,15.44
2015-03-31,34.41,$1.74,19.77
2014-12-31,30.92,$1.85,16.71
2014-09-30,27.83,$1.75,15.9
2014-06-30,35.98,$2.08,17.3
2014-03-31,28.73,$2.31,12.44
2013-12-31,29.43,$2.21,13.32
2013-09-30,25.64,$2.09,12.27
2013-06-30,27.28,$2.09,13.05
2013-03-31,21.94,$1.98,11.08
2012-12-31,17.5,$1.80,9.72
2012-09-30,14.44,$2.82,5.12
2012-06-30,10.98,$2.65,4.14
2012-03-31,13.74,$2.65,5.19
2011-12-31,15.47,$2.72,5.69
2011-09-30,9.97,$1.54,6.47
2011-06-30,11.64,$1.39,8.37
2011-03-31,10.52,$1.15,9.15
2010-12-31,10.36,$0.97,10.68
2010-09-30,7.93,$0.61,13.01
2010-06-30,6.05,$0.35,17.28
2010-03-31,7.39,$0.29,25.5
2009-12-31,6.31,$0.21,30.05
