22nd Century PE Ratio Historical Data,22nd Century PE Ratio Historical Data,22nd Century PE Ratio Historical Data,22nd Century PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.85,,0.0
2024-09-30,0.22,"$-2,986.49",0.0
2024-06-30,0.75,"$-10,868.92",0.0
2024-03-31,1.92,"$-13,867.57",0.0
2023-12-31,2.98,"$-16,063.57",0.0
2023-09-30,15.64,"$-17,467.03",0.0
2023-06-30,91.85,"$-11,455.25",0.0
2023-03-31,184.56,"$-10,373.19",0.0
2022-12-31,220.92,"$-9,400.71",0.0
2022-09-30,222.55,"$-8,428.22",0.0
2022-06-30,511.2,"$-8,428.22",0.0
2022-03-31,556.8,"$-7,455.73",0.0
2021-12-31,741.6,"$-6,807.41",0.0
2021-09-30,710.4,"$-5,510.76",0.0
2021-06-30,1111.2,"$-4,538.27",0.0
2021-03-31,789.6,"$-4,862.43",0.0
2020-12-31,528.0,"$-4,862.43",0.0
2020-09-30,153.79,"$-4,862.43",0.0
2020-06-30,183.46,"$-6,483.25",0.0
2020-03-31,180.0,"$-7,131.57",0.0
2019-12-31,264.0,"$-6,807.41",0.0
2019-09-30,542.4,"$-7,455.73",0.0
2019-06-30,501.6,"$-3,565.79",0.0
2019-03-31,410.4,"$-3,241.62",0.0
2018-12-31,597.6,"$-2,269.14",0.0
2018-09-30,674.4,0,0.0
2018-06-30,590.4,"$-2,269.14",0.0
2018-03-31,564.0,"$-1,944.97",0.0
2017-12-31,672.0,"$-3,241.62",0.0
2017-09-30,664.8,"$-4,214.11",0.0
2017-06-30,420.0,"$-4,214.11",0.0
2017-03-31,283.2,"$-4,214.11",0.0
2016-12-31,261.6,"$-4,538.27",0.0
2016-09-30,348.0,"$-4,862.43",0.0
2016-06-30,194.9,"$-5,186.60",0.0
2016-03-31,187.92,"$-4,538.27",0.0
2015-12-31,336.0,"$-5,186.60",0.0
2015-09-30,201.6,"$-6,807.41",0.0
2015-06-30,225.6,"$-7,131.57",0.0
2015-03-31,206.4,"$-7,455.73",0.0
2014-12-31,396.0,"$-8,428.22",0.0
2014-09-30,604.8,"$-10,697.35",0.0
2014-06-30,736.8,"$-19,449.73",0.0
2014-03-31,780.0,"$-18,801.41",0.0
2013-12-31,513.6,"$-15,883.95",0.0
2013-09-30,309.6,"$-10,697.35",0.0
2013-06-30,170.4,$-324.16,0.0
2013-03-31,211.2,0,0.0
2012-12-31,180.0,"$-2,593.30",0.0
2012-09-30,67.2,"$-2,593.30",0.0
2012-06-30,84.0,"$-3,241.62",0.0
2012-03-31,148.8,"$-4,538.27",0.0
2011-12-31,100.8,"$-1,944.97",0.0
