Yoshiharu Global PE Ratio Historical Data,Yoshiharu Global PE Ratio Historical Data,Yoshiharu Global PE Ratio Historical Data,Yoshiharu Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.91,,0.0
2024-09-30,7.54,$-2.38,0.0
2024-06-30,4.28,$-2.17,0.0
2024-03-31,4.01,$-2.15,0.0
2023-12-31,5.43,$-2.50,0.0
2023-09-30,0.4,$-3.40,0.0
2023-06-30,0.76,$-4.20,0.0
